ticker,name,facial_trust_appearance_proxy,is_ceo,source_positions,face_score
ENPG,Малевинская Анна Александровна,,False,CFO,
ENPG,Погосбеков Давид Дешенович,,False,Директор по коммерции,
ENPG,Данилов Александр,,False,Директор по правовым вопросам,
ENPG,Конопацкий Виктор,,False,Директор по связям с государственными органами,
ENPG,Санарова Ольга,,False,Директор по связям с общественностью,
ENPG,Бахтина Ирина,,False,Директор по устойчивому развитию,
ENPG,Кристофер Бернэм,,False,Председатель СД,
ENPG,Галенская Людмила Петровна,,False,Член СД,
ENPG,Тэргуд Маршалл Мл.,,False,Член СД,
ENPG,Джеймс У. Рэйдер,,False,Член СД,
ENPG,Фокина Жанна Сергеевна,-0.377664205471654,False,Член СД,43.705596575472434
ENPG,Шаронов Андрей Владимирович,,False,Член СД,
ENPG,Джеймс Шваб,,False,Член СД,
ENPG,Яновский Андрей Владимирович,0.4893092102209822,False,Член СД,58.15515350368304
ENPG,Гераскин Вадим Викторович,1.217360181677038,False,Член СД,70.28933636128397
ENPG,Горбатова Анастасия Владимировна,,False,Член СД,
ENPG,Плугарь Андрей Георгиевич,-0.1772731989965633,False,Член СД,47.045446683390615
ENPG,Филина Ольга Владимировна,-0.4802361044151686,False,Член СД,41.99606492641386
ETLN,Бузулуцкий Михаил Игоревич,0.504589774757878,True,"CEO, член СД",58.40982957929796
ETLN,Егоров Сергей Валерьевич,-0.1419905058878503,False,Председатель СД,47.63349156853584
ETLN,Щербина Геннадий Филиппович,-0.6539959511369232,False,Член СД,39.10006748105128
ETLN,Волошин Александр Стальевич,,False,Член СД,
ETLN,Оглоблина Марина Евгеньевна,-0.3167492308291017,False,Член СД,44.7208461528483
ETLN,Пыльцов Виталий Николаевич,-0.3541301586205756,False,Член СД,44.097830689657066
ETLN,Андреас Крифтис,,False,Член СД,
EUTR,Алексеенков Олег Олегович,-0.0058323576810463,True,"CEO, член СД",49.902794038649226
EUTR,Мартышов Игорь Юрьевич,,False,Председатель СД,
EUTR,Алексеенков Сергей Олегович,,False,Член СД,
EUTR,Дорошенко Николай Николаевич,0.0520333746514894,False,Член СД,50.86722291085815
EUTR,Панкратьева Наталья Михайловна,,False,Член СД,
EUTR,Шемякин Борис Олегович,,False,Член СД,
EUTR,Сафонов Олег Петрович,-0.2432452673417045,False,Член СД,45.945912210971585
EUTR,Сигова Мария Викторовна,0.0026178368410799,False,Член СД,50.04363061401799
EUTR,Хазин Андрей Леонидович,0.3082081992386537,False,Член СД,55.136803320644226
EUTR,Депутатов Георгий Юрьевич,,False,Руководитель подразделения внутреннего аудита,
FEES,Рюмин Андрей Валерьевич,,True,CEO,
FEES,Кулишов Григорий Викторович,,False,CSO,
FEES,Муров Андрей Евгеньевич,,False,Член Правления,
FEES,Краинский Даниил Владимирович,-0.4582631890563534,False,Член Правления,42.36228018239411
FEES,Ляпунов Евгений Викторович,,False,Член Правления,
FEES,Мольский Алексей Валерьевич,,False,Член Правления,
FEES,Полинов Алексей Александрович,,False,Член Правления,
FEES,Харитонов Владимир Вячеславович,-0.2671349289222267,False,Член Правления,45.547751184629554
FEES,Новак Александр Валентинович,0.2206265710724762,False,Председатель СД,53.677109517874605
FEES,Макаров Владимир Александрович,-0.9445023009411728,False,Руководитель подразделения внутреннего контроля и управления рисками,34.258294984313785
FEES,Ульянов Антон Сергеевич,-0.6945808453004767,False,Руководитель подразделения внутреннего аудита,38.42365257832538
FESH,Иванов Петр Валерьевич,0.2140739444841023,False,Президент,53.56789907473504
FESH,Плотников Юрий Олегович,-0.0636218259533663,False,Директор по охране государственной тайны,48.93963623411056
FIVE,Шехтерман Игорь Владимирович,0.7111859407930519,True,CEO,61.85309901321753
FIVE,Лобачева Екатерина Владимировна,,False,Президент,
FIVE,Ворона Иван Николаевич,,False,Руководитель подразделения внутреннего аудита,
FIVE,Мурашкин Андрей Игоревич,,False,Руководитель подразделения внутреннего контроля и управления рисками,
FIXP,Погонин Владимир Петрович,,True,CEO,
FIXP,Кирсанов Дмитрий Николаевич,0.2057024245223914,False,Управляющий директор,53.42837374203986
FIXP,Миронова Елена,,False,Руководитель по работе с инвесторами и СМИ,
FLOT,Тонковидов Игорь Васильевич,-0.4150820790216025,True,CEO,43.08196534963995
FLOT,Вербо Александр Михайлович,-0.4065284630017474,False,CFO,43.22452561663754
FLOT,Франк Сергей Оттович,,False,Председатель СД,
GAZP,Миллер Алексей Борисович,0.4233978968869635,True,"CEO, член СД",57.056631614782724
GAZP,Илюхина Елена Анатольевна,,False,Член Правления,
GAZP,Аксютин Олег Евгеньевич,-0.2832628138632217,False,Член Правления,45.27895310227964
GAZP,Куприянов Сергей Владимирович,0.4383160494373205,False,Член Правления,57.30526749062201
GAZP,Путин Михаил Евгеньевич,,False,Член Правления,
GAZP,Россеев Михаил Николаевич,,False,Член Правления,
GAZP,Садыгов Фамил Камиль оглы,,False,Член Правления,
GAZP,Хомяков Сергей Федорович,0.3083112140198736,False,Член Правления,55.138520233664565
GAZP,Кузнец Сергей Иванович,,False,Член Правления,
GAZP,Марков Владимир Константинович,,False,Член Правления,
GAZP,Меньшиков Сергей Николаевич,,False,Член Правления,
GAZP,Михаленко Вячеслав Александрович,,False,Член Правления,
GAZP,Симдякин Вадим Михайлович,,False,Член Правления,
GAZP,Зубков Виктор Алексеевич,-0.4311768414350321,False,Председатель СД,42.813719309416136
GAZP,Мантуров Денис Валентинович,,False,Член СД,
GAZP,Маркелов Виталий Анатольевич,0.0868985992885069,False,"Член СД, член Правления",51.44830998814178
GAZP,Акимов Андрей Игоревич,,False,Член СД,
GAZP,Мартынов Виктор Георгиевич,,False,Член СД,
GAZP,Максимцев Игорь Анатольевич,,False,Член СД,
GAZP,Середа Михаил Леонидович,,False,Член СД,
GAZP,Новак Александр Валентинович,0.2206265710724762,False,Член СД,53.677109517874605
GAZP,Патрушев Дмитрий Николаевич,-0.0586778357362156,False,Член СД,49.02203607106307
GEMC,Яновский Андрей Владимирович,0.4893092102209822,True,"CEO, член СД",58.15515350368304
GEMC,Минаков Георгий Викторович,,False,Руководитель подразделения внутреннего аудита,
GEMC,Шмелев Дмитрий Сергеевич,,False,"CFO, Председатель СД",
GEMC,Вольский Владислав Михайлович,,False,Член СД,
GEMC,Тронин Андрей Владимирович,,False,Член СД,
GEMC,Лобанов Олег Валентинович,,False,Член СД,
GLTR,Газизов Антон,,False,"Управляющий директор, член СД",
GLTR,Джафар Борхан,,False,Член СД,
GLTR,Жуслен Хейраллах,,False,Член СД,
GLTR,Абдулла Белобайда,,False,Член СД,
GLTR,Абдултайаб Бахрейнвала,,False,Член СД,
GLTR,Альбина Амангельдинова,,False,Член СД,
GLTR,Ержан Ниязалиев,,False,Председатель СД,
GLTR,Кайрат Итемгенов,1.004602941928587,False,Член СД,66.74338236547645
GLTR,Сторожев Александр Валентинович,,False,Член СД,
GLTR,Вячеслав Станиславский,,False,Член СД,
GLTR,Руслан Изатов,,False,Член СД,
GLTR,Стефан Хенрих,,False,Член СД,
GLTR,Юсеф Абу Лабан,,False,Член СД,
GMKN,Потанин Владимир Олегович,-1.0006986918719554,False,Президент,33.321688468800744
HEAD,Сергиенков Дмитрий Сергеевич,0.5958909925468223,True,"Генеральный директор, Член СД",59.93151654244704
HEAD,Арсеньев Сергей Станиславович,,False,Член СД,
HEAD,Байцур Антон Григорьевич,0.6333866133701435,False,Член СД,60.55644355616906
HEAD,Дуглас Гарднер,,False,Член СД,
HEAD,Григорьев Дмитрий Константинович,-0.185278488669366,False,Член СД,46.9120251888439
HEAD,Крюков Дмитрий Викторович,,False,Член СД,
HEAD,Машков Валентин Сергеевич,,False,Член СД,
HEAD,Ушакова Светлана Александровна,,False,Член СД,
HEAD,Филатова Ольга Геннадьевна,,False,Член СД,
HNFG,Арутюнян Рубен Альбертович,,False,Член СД,
HNFG,Адамян Амаяк Степаевич,,False,Член СД,
HNFG,Глазов Василий Владимирович,,False,Член СД,
HNFG,Золотарева Светлана Сергеевна,,False,Член СД,
HNFG,Киреев Михаил Сергеевич,,False,Член СД,
HNFG,Коршунова Анна Сергеевна,0.5543017146859021,False,Член СД,59.2383619114317
HNFG,Мелконян Гагик Аршавирович,,True,"Член СД, Генеральный директор",
HNFG,Мороз Александр Евгеньевич,,False,Член СД,
HNFG,Нахапетян Гор Борисович,,False,Член СД,
HNFG,Рихтер Пауль,,False,Член СД,
HNFG,Саркисян Акоп Гургенович,,False,Член СД,
HYDR,Хмарин Виктор Викторович,-0.900636460968394,True,Генеральный директор,34.98939231719343
HYDR,Панин Виктор Евгеньевич,,False,Член СД,
HYDR,Исаков Александр Юрьевич,,False,Член СД,
HYDR,Недотко Вадим Владиславович,,False,Член СД,
HYDR,Евграфова Елена Олеговна,,False,Член СД,
HYDR,Финкель Дмитрий Владимирович,,False,Член СД,
IRAO,Дрегваль Сергей Георгиевич,0.0980863396237975,True,"Генеральный директор, Член СД",51.634772327063295
IRAO,Бугров Андрей Евгеньевич,,False,Член СД,
IRAO,Быстров Максим Сергеевич,,False,Член СД,
IRAO,Гавриленко Анатолий Анатольевич,,False,Член СД,
IRAO,Локшин Александр Маркович,,False,Член СД,
IRAO,Миловидов Владимир Дмитриевич,-0.2918609031560295,False,Член СД,45.13565161406617
IRAO,Муров Андрей Евгеньевич,,False,Член СД,
IRAO,Опадчий Фёдор Юрьевич,,False,Член СД,
IRAO,Сечин Игорь Иванович,,False,Член СД,
IRAO,Федоров Денис Владимирович,,False,Член СД,
IRAO,Шугаев Дмитрий Евгеньевич,-0.8717336831758713,False,Член СД,35.47110528040215
IVAT,Иодковский Эдмунд Феликсович,,True,"Генеральный директор, Член СД",
IVAT,Зокин Андрей Александрович,-0.843072831098659,False,Член СД,35.94878614835569
IVAT,Терентьев Евгений Викторович,,False,Член СД,
IVAT,Черных Сергей Дмитриевич,,False,Член СД,
IVAT,Петров Виктор Александрович,0.7957776472715923,False,Член СД,63.26296078785987
IVAT,Смирнов Максим Сергеевич,-0.3551471387022898,False,Член СД,44.0808810216285
IVAT,Батыров Ренат Рафикович,0.984497378641701,False,Член СД,66.40828964402834
IVAT,Манойло Андрей Федорович,,False,Член СД,
IVAT,Смирнов Павел Игоревич,,False,Член СД,
KAZT,Герасименко Александр Викторович,-0.5973588883412561,True,Генеральный директор,40.04401852764573
KAZT,Аникушин Сергей Александрович,,False,Член СД,
KAZT,Ардамаков Сергей Витальевич,,False,Член СД,
KAZT,Бобровский Сергей Викторович,,False,Член СД,
KAZT,Былинин Андрей Николаевич,0.918246472241666,False,Член СД,65.30410787069444
KAZT,Герасименко Виктор Иванович,,False,Член СД,
KAZT,Кудашев Виктор Николаевич,,False,Член СД,
KAZT,Кудрявцев Виктор Петрович,,False,Член СД,
KAZT,Огарков Анатолий Аркадьевич,,False,Член СД,
KAZT,Рачин Константин Геннадьевич,,False,Член СД,
KAZT,Рыбкин Дмитрий Васильевич,-0.53074568521998,False,Член СД,41.154238579667
KAZT,Туманов Сергей Александрович,,False,Член СД,
KAZT,Шульженко Юрий Григорьевич,,False,Член СД,
KZOS,Сафин Айрат Фоатович,,True,Генеральный директор,
LEAS,Мизюра Сергей Николаевич,,True,Генеральный директор,
LENT,Сорокин Владимир Леонидович,,True,Генеральный директор,
LKOH,Кочкуров Сергей Алексеевич,,True,Генеральный директор,
LSNGP,Кузьмин Игорь Анатольевич,,True,"Генеральный директор, Член СД",
LSNGP,Рюмин Андрей Валерьевич,,False,Член СД,
LSNGP,Пикин Сергей Сергеевич,,False,Член СД,
LSNGP,Мольский Алексей Валерьевич,,False,Член СД,
LSNGP,Ляпунов Евгений Викторович,,False,Член СД,
LSNGP,Полинов Алексей Александрович,,False,Член СД,
LSNGP,Краинский Даниил Владимирович,-0.4582631890563534,False,Член СД,42.36228018239411
LSNGP,Протасов Станислав Дмитриевич,,False,Член СД,
LSNGP,Мельникова Светлана Анатольевна,,False,Член СД,
LSNGP,Денисов Игорь Вадимович,,False,Член СД,
LSNGP,Котвицкий Константин Валерьевич,,False,Член СД,
LSNGP,Кутыева Екатерина Валерьевна,,False,Член СД,
LSNGP,Казаев Владимир Александрович,,False,Член СД,
LSRG,Кутузов Дмитрий Владимирович,,True,"Генеральный директор, Член СД",
LSRG,Волчецкая Галина Александровна,,False,Член СД,
LSRG,Игнатенко Виталий Никитич,,False,Член СД,
LSRG,Кудимов Юрий Александрович,,False,Член СД,
LSRG,Левит Игорь Михайлович,,False,Член СД,
LSRG,Молчанов Егор Андреевич,,False,Член СД,
LSRG,Осипов Юрий Сергеевич,,False,Член СД,
LSRG,Шадрина Любовь Викторовна,,False,Член СД,
LSRG,Яковлев Владимир Анатольевич,,False,Член СД,
MAGN,Шиляев Павел Владимирович,,True,"Генеральный директор, Член СД",
MAGN,Рашников Виктор Филиппович,,False,Член СД,
MAGN,Еремин Андрей Анатольевич,,False,Член СД,
MAGN,Исмаилов Рашид Рустам оглы,,False,Член СД,
MAGN,Марцинович Валерий Ярославович,,False,Член СД,
MAGN,Морган Ральф Таваколян,,False,Член СД,
MAGN,Наумова Ольга Валерьевна,,False,Член СД,
MAGN,Осеевский Михаил Эдуардович,,False,Член СД,
MAGN,Рашникова Ольга Викторовна,,False,Член СД,
MAGN,Ушаков Сергей Николаевич,,False,Член СД,
MBNK,Иссопов Эдуард Александрович,,True,Председатель правления,
MDMG,Курцер Марк Аркадьевич,,True,"Генеральный директор, Член СД",
MDMG,Калугин Сергей Борисович,,False,Член СД,
MDMG,Кудимов Юрий Александрович,,False,Член СД,
MDMG,Лукина Татьяна Борисовна,,False,Член СД,
MDMG,Меклер Владимир Александрович,,False,Член СД,
MDMG,Устименко Виталий Александрович,,False,Член СД,
MGNT,Dmitry Ivanov,,False,Director of Finance/CFO,
MGNT,Yuri Misnik,,False,Chief Tech/Sci/R&D Officer,
MGNT,Andrey Bodrov,,False,Chief Investment Officer,
MGNT,Meleshina Anna Yurievna,,False,Corporate Officer/Principal | Director/Board Member,
MGNT,Bobrova Anna Nikolayevna,,False,Human Resources Officer | Director/Board Member,
MGNT,Buylov Sergey Yurievich,,False,Director/Board Member,
MGNT,Vitikhovich M. Viktorovna,,False,Director/Board Member,
MGNT,Dulichenko Natalia Anatoliyevna,,False,Director/Board Member,
MGNT,Ilya Igorevich Sokolov,,False,Director/Board Member,
MGTSP,Виктор Леонидович Белов,,False,Director/Board Member | председатель СД,
MGTSP,Лариса Владимировна Бодягина,0.6136439047382419,False,Director/Board Member,60.227398412304034
MGTSP,Инеса Галактионова,-0.4777211672589416,False,Director/Board Member,42.037980545684306
MGTSP,Альберт Тимурович Гильманов,0.626809862239128,True,генеральный директор,60.446831037318795
MGTSP,Александр Сергеевич Дмитриев,-0.3882064718836024,False,Director/Board Member,43.52989213527329
MGTSP,Роман Валерьевич Райков,0.3493317546783603,False,Director/Board Member,55.822195911306004
MGTSP,Дмитрий Николаевич Рылов,0.18128235479059,False,Director/Board Member,53.02137257984317
MGTSP,Ирина Владимировна Карева,1.1875256805680514,False,финансовый директор,69.7920946761342
MOEX,Yuriy Denisov,,True,Chief Executive Officer,
MOEX,Andrei Selyuk,-0.4491439092582357,False,Director of Finance/CFO,42.51426817902941
MOEX,Olga Vyacheslavovna Melentyeva,-0.8696432816143006,False,Comptroller/Controller/Auditor,35.50594530642832
MOEX,Andrey Burilov,,False,Chief Tech/Sci/R&D Officer,
MOEX,Aleksandr Mikhailovich Kamenskiy,-0.0655145846593365,False,Corporate Secretary,48.90809025567773
MOEX,Dmitry Shcheglov,0.6681206039950375,False,Chief Operating Officer,61.135343399917296
MOEX,Anton Vladimirovich Terentiev,0.4530190526113712,False,Investor Relations Contact,57.55031754352285
MOEX,Sergey Anatolyevich Shvetsov,,False,Chairman,
