ticker,education_name,matched_name,method,score
DIAS,Бочкарев Сергей Викторович,Бочкарев Сергей Викторович,exact,100.0
DIAS,Глазков Александр Валериевич,Глазков Александр Валериевич,exact,100.0
DIAS,Клишина Екатерина Александровна,Клишина Екатерина Александровна,exact,100.0
DIAS,Лебедев Дмитрий Владимирович,Лебедев Дмитрий Владимирович,exact,100.0
DIAS,Ляшков Александр Анатольевич,Ляшков Александр Анатольевич,exact,100.0
DIAS,Таскаева Татьяна Петровна,Таскаева Татьяна Петровна,exact,100.0
DVEC,Ажимов Олег Евгеньевич,Ажимов Олег Евгеньевич,exact,100.0
DVEC,Бельченко Антон Леонидович,Бельченко Антон Леонидович,exact,100.0
DVEC,Борисенко Вера Валентиновна,Борисенко Вера Валентиновна,exact,100.0
DVEC,Власов Алексей Валерьевич,Власов Алексей Валерьевич,exact,100.0
DVEC,Доланова Елена Федоровна,Доланова Елена Федоровна,exact,100.0
DVEC,Дьяченко Ксения Юрьевна,Дьяченко Ксения Юрьевна,exact,100.0
DVEC,Кабанова Лариса Владимировна,Кабанова Лариса Владимировна,exact,100.0
DVEC,Кимерин Владимир Анатольевич,Кимерин Владимир Анатольевич,exact,100.0
DVEC,Коломиец Владимир Александрович,Коломиец Владимир Александрович,exact,100.0
DVEC,Коптяков Станислав Сергеевич,Коптяков Станислав Сергеевич,exact,100.0
DVEC,Меделец Светлана Юрьевна,Меделец Светлана Юрьевна,exact,100.0
DVEC,Осенкова Ксения Геннадьевна,Осенкова Ксения Геннадьевна,exact,100.0
DVEC,Сорокин Роман Юрьевич,Сорокин Роман Юрьевич,exact,100.0
DVEC,Стороженко Виталий Анатольевич,Стороженко Виталий Анатольевич,exact,100.0
DVEC,Тюльпанов Евгений Викторович,Тюльпанов Евгений Викторович,exact,100.0
ELFV,Атцени Москвитин Матвей Владимирович,Атцени Москвитин Матвей Владимирович,exact,100.0
ELFV,Верещагин Михаил Игоревич,Верещагин Михаил Игоревич,exact,100.0
ELFV,Косменюк Олег Николаевич,Косменюк Олег Николаевич,exact,100.0
ELFV,Леонова Нина Васильевна,Леонова Нина Васильевна,exact,100.0
