ticker,name,Nom_2015,Nom_2016,Nom_2017,Nom_2018,Nom_2019,Nom_2020,Nom_2021,Nom_2022,Nom_2023,Nom_2024,is_ceo,source_positions,awards_raw,awards_score
ETLN,Оглоблина Марина Евгеньевна,,,,,,,,,,,False,Член СД,0.0,0.0
ETLN,Пыльцов Виталий Николаевич,,,,,,,,,,,False,Член СД,0.0,0.0
ETLN,Андреас Крифтис,,,,,,,,,,,False,Член СД,0.0,0.0
EUTR,Алексеенков Олег Олегович,,,,,,,,,,,True,"CEO, член СД",0.0,0.0
EUTR,Мартышов Игорь Юрьевич,,,,,,,,,,,False,Председатель СД,0.0,0.0
EUTR,Алексеенков Сергей Олегович,,,,,,,,,,,False,Член СД,0.0,0.0
EUTR,Дорошенко Николай Николаевич,,,,,,,,,,,False,Член СД,0.0,0.0
EUTR,Панкратьева Наталья Михайловна,,,,,,,,,,,False,Член СД,0.0,0.0
EUTR,Шемякин Борис Олегович,,,,,,,,,,,False,Член СД,0.0,0.0
EUTR,Сафонов Олег Петрович,,,,,,,,,,,False,Член СД,0.0,0.0
EUTR,Сигова Мария Викторовна,,,,,,,,,,,False,Член СД,0.0,0.0
EUTR,Хазин Андрей Леонидович,,,,,,,,,,,False,Член СД,0.0,0.0
EUTR,Депутатов Георгий Юрьевич,,,,,,,,,,,False,Руководитель подразделения внутреннего аудита,0.0,0.0
FEES,Рюмин Андрей Валерьевич,,,,,,,,,,,True,CEO,0.0,0.0
FEES,Кулишов Григорий Викторович,,,,,,,,,,,False,CSO,0.0,0.0
FEES,Муров Андрей Евгеньевич,,N,N,N,N,,,,,,False,Член Правления,4.0,52.863394681944804
FEES,Краинский Даниил Владимирович,,,,,,,,,,,False,Член Правления,0.0,0.0
FEES,Ляпунов Евгений Викторович,,,,,,,,,,,False,Член Правления,0.0,0.0
FEES,Мольский Алексей Валерьевич,,,,N,,,N,N,,,False,Член Правления,3.0,45.5340497393906
FEES,Полинов Алексей Александрович,,,,,,,,,,,False,Член Правления,0.0,0.0
FEES,Харитонов Владимир Вячеславович,,,,,,,,,,,False,Член Правления,0.0,0.0
FEES,Новак Александр Валентинович,,,,,,,,,,,False,Председатель СД,0.0,0.0
FEES,Макаров Владимир Александрович,,,,,,,,,,,False,Руководитель подразделения внутреннего контроля и управления рисками,0.0,0.0
FEES,Ульянов Антон Сергеевич,,,,,,,,,,,False,Руководитель подразделения внутреннего аудита,0.0,0.0
FESH,Иванов Петр Валерьевич,,,,,,,,,,,False,Президент,0.0,0.0
FESH,Плотников Юрий Олегович,,,,,,,,,,,False,Директор по охране государственной тайны,0.0,0.0
FIVE,Шехтерман Игорь Владимирович,N,,,,N,N,N,,,,True,CEO,4.0,52.863394681944804
FIVE,Лобачева Екатерина Владимировна,,,,,N,W,N,,,,False,Президент,4.0,52.863394681944804
FIVE,Ворона Иван Николаевич,,,,,,,,,,,False,Руководитель подразделения внутреннего аудита,0.0,0.0
FIVE,Мурашкин Андрей Игоревич,,,,,,,,,,,False,Руководитель подразделения внутреннего контроля и управления рисками,0.0,0.0
FIXP,Погонин Владимир Петрович,,,,,,,,,,,True,CEO,0.0,0.0
FIXP,Кирсанов Дмитрий Николаевич,,,,,,,,,,,False,Управляющий директор,0.0,0.0
FIXP,Миронова Елена,,,,,,,,,,,False,Руководитель по работе с инвесторами и СМИ,0.0,0.0
FLOT,Тонковидов Игорь Васильевич,,,,,,,,,,,True,CEO,0.0,0.0
FLOT,Вербо Александр Михайлович,,,,,,,,,,,False,CFO,0.0,0.0
FLOT,Франк Сергей Оттович,,,,,,,,,,,False,Председатель СД,0.0,0.0
GAZP,Миллер Алексей Борисович,,,,,,,,,,,True,"CEO, член СД",0.0,0.0
GAZP,Илюхина Елена Анатольевна,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Аксютин Олег Евгеньевич,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Куприянов Сергей Владимирович,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Путин Михаил Евгеньевич,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Россеев Михаил Николаевич,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Садыгов Фамил Камиль оглы,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Хомяков Сергей Федорович,,,,,,,,,,,False,Член Правления,0.0,0.0
