ticker,name,yandex_count,is_ceo,source_positions,media_score
TRNFP,Ефремов Александр Михайлович,781.0,False,"Директор департамента ремонтно-эксплуатационных нужд, транспорта и надзора за строительным контролем ПАО «Транснефть»",57.8640848013428
SOFL,Алексей Пилипчук,775.0,False,Технический директор,57.79718422341842
VKCO,Зыбина Мария,771.0,False,Член Совета директоров МКПАО «ВК»; неисполнительный директор,57.75229584395873
MSRS,Yuri Goncharov,768.0,False,Director/Board Member,57.71847666264745
VSEH,Фахрутдинов Валентин Кириллович,768.0,True,Член Совета директоров ПАО «ВИ.ру»; исполнительный директор; генеральный директор ПАО «ВИ.ру»; генеральный директор ООО «ВсеИнструменты.ру»,57.71847666264745
VSEH,Ершов Роман Владимирович,764.0,False,Член Совета директоров ПАО «ВИ.ру»; независимый директор; председатель Комитета по вознаграждениям и номинациям; член Комитета по аудиту,57.67317860903638
YDEX,Евгений Якушкин,759.0,False,Независимый директор,57.61622180105166
TGKB,Царева Валентина Валерьевна,759.0,False,Правление: член Правления (до 06.08.2024); директор по правовым вопросам (до 08.2024),57.61622180105166
DVEC,Ажимов Олег Евгеньевич,753.0,False,Председатель Ревизионной комиссии,57.5473769326289
DELI,Алгульян Даниил Валерьевич,751.0,False,Член СД,57.52430684710459
LSRG,Игнатенко Виталий Никитич,751.0,False,Член СД,57.52430684710459
HYDR,Недотко Вадим Владиславович,749.0,False,Член СД,57.50117532319742
KAZT,Огарков Анатолий Аркадьевич,749.0,False,Член СД,57.50117532319742
HEAD,Крюков Дмитрий Викторович,746.0,False,Член СД,57.46636212190961
TRMK,Оборский Владимир Брониславович,739.0,False,Заместитель генерального директора ПАО «ТМК» по маркетингу,57.3845845512519
NLMK,Ben de Vos,736.0,False,Chief Operating Officer,57.34929994446108
MSNG,Alexander Alekseevich Afanasiev,734.0,False,Human Resources Officer,57.32569698946511
TATN,Галиев Ренат Маратович,731.0,False,Член Совета директоров (избран 27.06.2024),57.29017185980563
MBNK,Иссопов Эдуард Александрович,725.0,True,Председатель правления,57.21868271473403
DIAS,Ляшков Александр Анатольевич,725.0,False,Член Ревизионной комиссии,57.21868271473403
MRKV,Alexander Golovtsov,725.0,False,Director/Board Member,57.21868271473403
ABIO,Александров Дмитрий Андреевич,722.0,False,Член СД,57.18271627786268
TRNFP,Каланда Владимир Александрович,720.0,False,"Член Правления ПАО «Транснефть»; вице-президент по правовому обеспечению, взаимодействию с государственными органами и внешним коммуникациям",57.15865564725934
ROSN,Alexander Dmitrievich Nekipelov,714.0,False,Chairman,57.08607125193805
TTLK,Воробьев Михаил Сергеевич,709.0,False,Генеральный директор ООО «Твои Мобильные Технологии» с февраля 2023 года,57.02511744324149
HEAD,Сергиенков Дмитрий Сергеевич,708.0,True,"Генеральный директор, Член СД",57.01287518315475
VTBR,Репин Игорь Николаевич,706.0,False,Член Наблюдательного совета Банка ВТБ (ПАО); независимый директор,56.988338776743355
POLY,Omar Bahram,704.0,False,Vice-Chair,56.96373286200566
MOEX,Valery Pavlovich Goreglyad,703.0,False,Director/Board Member,56.95140371572884
SVCB,Dmitry Vladimirovich Khotimskiy,701.0,False,Chief Investment Officer,56.92669279694622
MSRS,Vladimir Yurievich Myasnikov,698.0,False,Director of Finance/CFO,56.889494101573966
MAGN,Наумова Ольга Валерьевна,695.0,False,Член СД,56.85213541132076
