ticker,equal_score,critic_score,equal_rank,critic_rank,score_p025,score_p975,rank_p025,rank_median,rank_p975,top_k_probability
MRKC,47.01656825785688,51.27194346368166,50.0,46.0,39.2647233030509,59.2911457335837,42.0,46.0,51.0,0.0
MRKP,47.36296024259484,51.42418843174673,48.0,44.0,39.52300833636648,59.441776480350555,41.0,44.0,49.0,0.0
MRKU,45.14019547501755,50.33477252433747,58.0,50.0,38.514683133819005,57.83605869156566,46.0,50.0,55.024999999999864,0.0
MRKV,48.15535284042589,52.37085943152281,43.0,38.0,40.957935309730814,59.818301890211785,35.0,38.0,42.0,0.0
MRKZ,48.84079178698585,53.091393724046156,38.0,34.0,41.603453897773115,60.77821068561178,29.0,34.0,38.0,0.0
MSRS,48.25291674570952,52.16079539013525,41.0,40.0,40.35927406015887,60.06986523129552,37.0,40.0,42.0,0.0
MTSS,57.81061397259148,60.77146998291517,4.0,5.0,51.42874580706806,67.05284162994694,4.0,5.0,6.0,1.0
MVID,45.96206787070473,49.71653192454808,54.0,55.0,37.634466184528705,57.44586118280498,52.0,55.0,57.0,0.0
NKNC,51.65086107637135,55.04636047275557,24.0,22.0,44.264570177247464,62.14844680809291,20.0,22.0,27.0,0.0
NLMK,52.9399539232289,56.50064269712709,17.0,18.0,46.044433926219924,63.5082963770075,13.0,17.0,20.0,0.0
OZPH,48.60319687636821,51.35223031282666,40.0,45.0,39.44169123036308,59.40551124216422,42.0,45.0,48.0,0.0
PHOR,46.50798521834874,50.101573907296284,52.0,52.0,38.28948730617677,57.787474603302066,50.0,52.0,54.0,0.0
PIKK,47.504999864377076,50.55819669200587,46.0,49.0,38.650648709102306,58.38465540680099,46.0,49.0,51.0,0.0
POSI,25.00509796497232,19.086421466988153,64.0,64.0,16.69397260493679,23.938354966481178,64.0,64.0,64.0,0.0
PRMD,52.257272371934796,54.762227750241045,21.0,24.0,43.443271548700054,62.6105027147546,21.0,24.0,26.0,0.0
RENI,58.91495953380961,63.22227305890611,3.0,2.0,55.07350441395471,68.07575291220594,2.0,2.0,5.0,1.0
RNFT,48.18544290602464,51.632481525295304,42.0,43.0,39.69659420806776,59.74790360562399,40.0,43.0,46.0,0.0
ROSN,49.4752390732461,52.231043765602195,37.0,39.0,40.52589364414451,60.2343277408525,37.0,39.0,42.024999999999864,0.0
RUAL,47.14922582562443,51.76128560304186,49.0,42.0,40.162481007980915,59.22201237635966,39.0,42.0,47.0,0.0
SBER,45.96068100625884,43.16588870489002,55.0,61.0,39.95174698088138,46.53841050355612,40.0,61.0,62.0,0.0145
SELG,43.31006264408638,47.391600638397456,61.0,60.0,34.881879645957426,55.80051533957177,59.0,60.0,63.0,0.0
SGZH,54.34746994440648,58.33327995296327,8.0,7.0,49.00299849654138,64.19889592062893,6.0,7.0,20.024999999999864,0.745
SMLT,50.70138291954498,53.29601995176252,31.0,32.0,41.87171952873956,61.22943599603841,29.0,32.0,36.0,0.0
SOFL,49.72988597248781,52.618546373172336,36.0,37.0,41.011779550891255,60.47570071849573,36.0,37.0,40.0,0.0
SPBE,48.82751345917439,51.835704132657376,39.0,41.0,40.13781665408586,59.72899523017849,39.0,42.0,45.0,0.0
SVCB,50.03046250901567,53.048027747357374,34.0,35.0,41.499972805719715,60.9081530853448,32.0,35.0,36.0,0.0
TATN,48.07214944847307,51.108587748000645,44.0,47.0,39.22847776910142,59.18899295574748,44.0,47.0,49.0,0.0
TRNFP,46.79688473601448,49.8964543833726,51.0,53.0,37.94485426457707,57.818209063690055,51.0,54.0,56.0,0.0
TTLK,45.68480809988545,48.80966469358859,57.0,57.0,36.41614438691085,57.01916611339462,56.0,57.0,60.0,0.0
UGLD,46.42206001749997,49.83287927563186,53.0,54.0,37.70476932016913,58.1126293826497,49.0,54.0,57.0,0.0
VSEH,45.11205603589096,48.50877278765687,59.0,58.0,36.23197825406077,56.58269155912149,57.0,58.0,61.0,0.0
VTBR,47.51743968109904,50.653881998288085,45.0,48.0,38.982475320377716,58.31851495413097,43.0,48.0,52.0,0.0
YDEX,47.45433069112803,50.141288788873894,47.0,51.0,38.000209692446774,58.15445326526073,49.0,51.0,54.0,0.0
