iteration,sample_size,unique_companies,status,reason
524,64,41,ok,
525,64,42,ok,
526,64,44,ok,
527,64,45,ok,
528,64,37,ok,
529,64,46,ok,
530,64,40,ok,
531,64,42,ok,
532,64,40,ok,
533,64,39,ok,
534,64,45,ok,
535,64,38,ok,
536,64,44,ok,
537,64,43,ok,
538,64,39,ok,
539,64,39,ok,
540,64,41,ok,
541,64,44,ok,
542,64,41,ok,
543,64,40,ok,
544,64,39,ok,
545,64,41,ok,
546,64,37,ok,
547,64,38,ok,
548,64,35,ok,
549,64,43,ok,
550,64,40,ok,
551,64,39,ok,
552,64,41,ok,
553,64,45,ok,
554,64,37,ok,
555,64,40,ok,
556,64,39,ok,
557,64,41,ok,
558,64,45,ok,
559,64,42,ok,
560,64,37,ok,
561,64,43,ok,
562,64,39,ok,
563,64,40,ok,
564,64,38,ok,
565,64,40,ok,
566,64,40,ok,
567,64,42,ok,
568,64,39,ok,
569,64,37,ok,
570,64,40,ok,
571,64,37,ok,
572,64,44,ok,
573,64,42,ok,
574,64,40,ok,
575,64,40,ok,
576,64,44,ok,
577,64,41,ok,
578,64,40,ok,
579,64,40,ok,
580,64,37,ok,
581,64,41,ok,
582,64,41,ok,
583,64,43,ok,
584,64,46,ok,
585,64,39,ok,
586,64,43,ok,
587,64,39,ok,
588,64,37,ok,
589,64,44,ok,
590,64,37,ok,
591,64,44,ok,
592,64,42,ok,
593,64,40,ok,
594,64,42,ok,
595,64,36,ok,
596,64,42,ok,
597,64,41,ok,
598,64,43,ok,
599,64,38,ok,
600,64,39,ok,
601,64,40,ok,
602,64,39,ok,
603,64,39,ok,
604,64,43,ok,
605,64,41,ok,
606,64,42,ok,
607,64,39,ok,
608,64,37,ok,
609,64,43,ok,
610,64,43,ok,
611,64,40,ok,
612,64,41,ok,
613,64,44,ok,
614,64,46,ok,
615,64,41,ok,
616,64,39,ok,
617,64,44,ok,
618,64,39,ok,
619,64,44,ok,
620,64,44,ok,
621,64,38,ok,
622,64,38,ok,
623,64,42,ok,
624,64,39,ok,
625,64,43,ok,
626,64,42,ok,
627,64,41,ok,
628,64,43,ok,
629,64,40,ok,
630,64,41,ok,
631,64,42,ok,
632,64,39,ok,
633,64,39,ok,
634,64,39,ok,
635,64,39,ok,
636,64,36,ok,
637,64,42,ok,
638,64,41,ok,
639,64,40,ok,
640,64,40,ok,
641,64,41,ok,
642,64,41,ok,
643,64,42,ok,
644,64,39,ok,
645,64,38,ok,
646,64,40,ok,
647,64,44,ok,
648,64,43,ok,
649,64,50,ok,
650,64,41,ok,
651,64,40,ok,
652,64,39,ok,
653,64,41,ok,
654,64,43,ok,
655,64,40,ok,
656,64,39,ok,
657,64,43,ok,
658,64,37,ok,
659,64,41,ok,
660,64,40,ok,
661,64,40,ok,
662,64,42,ok,
663,64,40,ok,
664,64,40,ok,
665,64,42,ok,
666,64,38,ok,
667,64,42,ok,
668,64,37,ok,
669,64,39,ok,
670,64,43,ok,
671,64,39,ok,
672,64,40,ok,
673,64,38,ok,
674,64,42,ok,
675,64,41,ok,
676,64,40,ok,
677,64,38,ok,
678,64,44,ok,
679,64,40,ok,
680,64,39,ok,
681,64,38,ok,
682,64,40,ok,
683,64,42,ok,
684,64,40,ok,
685,64,41,ok,
686,64,41,ok,
687,64,41,ok,
688,64,41,ok,
689,64,38,ok,
690,64,41,ok,
691,64,41,ok,
692,64,39,ok,
693,64,42,ok,
694,64,41,ok,
695,64,43,ok,
696,64,40,ok,
697,64,41,ok,
698,64,41,ok,
699,64,38,ok,
700,64,42,ok,
701,64,41,ok,
702,64,38,ok,
703,64,41,ok,
704,64,43,ok,
705,64,38,ok,
706,64,39,ok,
707,64,42,ok,
708,64,39,ok,
709,64,43,ok,
710,64,38,ok,
711,64,43,ok,
712,64,38,ok,
713,64,37,ok,
714,64,42,ok,
715,64,39,ok,
716,64,40,ok,
717,64,40,ok,
718,64,40,ok,
719,64,41,ok,
720,64,38,ok,
721,64,41,ok,
722,64,40,ok,
723,64,43,ok,
724,64,44,ok,
725,64,44,ok,
726,64,41,ok,
727,64,37,ok,
728,64,39,ok,
729,64,42,ok,
730,64,39,ok,
731,64,42,ok,
732,64,44,ok,
733,64,42,ok,
734,64,44,ok,
735,64,36,ok,
736,64,43,ok,
737,64,41,ok,
738,64,40,ok,
739,64,42,ok,
740,64,45,ok,
741,64,38,ok,
742,64,39,ok,
743,64,40,ok,
744,64,42,ok,
745,64,40,ok,
746,64,42,ok,
747,64,40,ok,
748,64,39,ok,
749,64,45,ok,
750,64,46,ok,
751,64,42,ok,
752,64,40,ok,
753,64,41,ok,
754,64,36,ok,
755,64,39,ok,
756,64,41,ok,
757,64,35,ok,
758,64,43,ok,
759,64,40,ok,
760,64,41,ok,
761,64,45,ok,
762,64,39,ok,
763,64,45,ok,
764,64,41,ok,
765,64,40,ok,
766,64,42,ok,
767,64,41,ok,
768,64,38,ok,
769,64,38,ok,
770,64,40,ok,
771,64,38,ok,
772,64,43,ok,
773,64,39,ok,
774,64,40,ok,
775,64,36,ok,
776,64,42,ok,
777,64,45,ok,
778,64,40,ok,
779,64,40,ok,
780,64,40,ok,
781,64,38,ok,
782,64,38,ok,
783,64,42,ok,
784,64,41,ok,
785,64,44,ok,
786,64,34,ok,
787,64,40,ok,
788,64,38,ok,
789,64,42,ok,
790,64,39,ok,
791,64,40,ok,
792,64,44,ok,
793,64,38,ok,
794,64,41,ok,
795,64,37,ok,
796,64,42,ok,
797,64,40,ok,
798,64,37,ok,
799,64,41,ok,
800,64,36,ok,
801,64,42,ok,
802,64,40,ok,
803,64,44,ok,
804,64,40,ok,
805,64,41,ok,
806,64,38,ok,
807,64,43,ok,
808,64,38,ok,
809,64,41,ok,
810,64,38,ok,
811,64,39,ok,
812,64,37,ok,
813,64,44,ok,
814,64,44,ok,
815,64,38,ok,
816,64,42,ok,
817,64,39,ok,
818,64,45,ok,
819,64,42,ok,
820,64,38,ok,
821,64,41,ok,
822,64,41,ok,
823,64,35,ok,
824,64,40,ok,
825,64,43,ok,
826,64,39,ok,
827,64,44,ok,
828,64,47,ok,
829,64,44,ok,
830,64,39,ok,
831,64,40,ok,
832,64,41,ok,
833,64,44,ok,
834,64,40,ok,
835,64,42,ok,
836,64,37,ok,
837,64,36,ok,
838,64,39,ok,
839,64,39,ok,
840,64,39,ok,
841,64,36,ok,
842,64,38,ok,
843,64,40,ok,
844,64,35,ok,
845,64,40,ok,
846,64,42,ok,
847,64,39,ok,
848,64,42,ok,
849,64,43,ok,
850,64,43,ok,
851,64,36,ok,
852,64,42,ok,
853,64,40,ok,
854,64,43,ok,
855,64,42,ok,
856,64,42,ok,
857,64,43,ok,
858,64,43,ok,
859,64,40,ok,
860,64,43,ok,
861,64,40,ok,
862,64,41,ok,
863,64,40,ok,
864,64,37,ok,
865,64,42,ok,
866,64,38,ok,
867,64,42,ok,
868,64,40,ok,
869,64,37,ok,
870,64,41,ok,
871,64,40,ok,
872,64,38,ok,
873,64,45,ok,
874,64,38,ok,
875,64,36,ok,
876,64,37,ok,
877,64,38,ok,
878,64,40,ok,
879,64,44,ok,
880,64,45,ok,
881,64,45,ok,
882,64,42,ok,
883,64,40,ok,
884,64,40,ok,
885,64,40,ok,
886,64,38,ok,
887,64,44,ok,
888,64,45,ok,
889,64,40,ok,
890,64,40,ok,
891,64,42,ok,
892,64,37,ok,
893,64,40,ok,
894,64,38,ok,
895,64,42,ok,
896,64,38,ok,
897,64,39,ok,
898,64,37,ok,
899,64,42,ok,
900,64,42,ok,
901,64,40,ok,
902,64,40,ok,
903,64,38,ok,
904,64,41,ok,
905,64,39,ok,
906,64,40,ok,
907,64,41,ok,
908,64,41,ok,
909,64,43,ok,
910,64,45,ok,
911,64,41,ok,
912,64,40,ok,
913,64,45,ok,
914,64,41,ok,
915,64,41,ok,
916,64,38,ok,
917,64,39,ok,
918,64,40,ok,
919,64,37,ok,
920,64,44,ok,
921,64,40,ok,
922,64,35,ok,
923,64,44,ok,
924,64,40,ok,
925,64,40,ok,
926,64,40,ok,
927,64,40,ok,
928,64,39,ok,
929,64,41,ok,
930,64,37,ok,
931,64,41,ok,
932,64,42,ok,
933,64,43,ok,
