iteration,sample_size,unique_companies,status,reason
473,28,17,ok,
474,28,19,ok,
475,28,17,ok,
476,28,21,ok,
477,28,17,ok,
478,28,17,ok,
479,28,20,ok,
480,28,20,ok,
481,28,19,ok,
482,28,18,ok,
483,28,18,ok,
484,28,19,ok,
485,28,20,ok,
486,28,18,ok,
487,28,16,ok,
488,28,17,ok,
489,28,17,ok,
490,28,16,ok,
491,28,17,ok,
492,28,19,ok,
493,28,18,ok,
494,28,18,ok,
495,28,16,ok,
496,28,18,ok,
497,28,15,ok,
498,28,15,ok,
499,28,19,ok,
500,28,17,ok,
501,28,20,ok,
502,28,17,ok,
503,28,19,ok,
504,28,15,ok,
505,28,21,ok,
506,28,18,ok,
507,28,17,ok,
508,28,16,ok,
509,28,22,ok,
510,28,21,ok,
511,28,19,ok,
512,28,16,ok,
513,28,18,ok,
514,28,19,ok,
515,28,16,ok,
516,28,17,ok,
517,28,18,ok,
518,28,18,ok,
519,28,19,ok,
520,28,19,ok,
521,28,21,ok,
522,28,16,ok,
523,28,17,ok,
524,28,16,ok,
525,28,21,ok,
526,28,19,ok,
527,28,16,ok,
528,28,17,ok,
529,28,20,ok,
530,28,18,ok,
531,28,17,ok,
532,28,19,ok,
533,28,18,ok,
534,28,15,ok,
535,28,17,ok,
536,28,15,ok,
537,28,17,ok,
538,28,20,ok,
539,28,19,ok,
540,28,19,ok,
541,28,19,ok,
542,28,17,ok,
543,28,20,ok,
544,28,17,ok,
545,28,17,ok,
546,28,18,ok,
547,28,16,ok,
548,28,19,ok,
549,28,20,ok,
550,28,19,ok,
551,28,17,ok,
552,28,16,ok,
553,28,18,ok,
554,28,19,ok,
555,28,20,ok,
556,28,17,ok,
557,28,17,ok,
558,28,17,ok,
559,28,17,ok,
560,28,18,ok,
561,28,19,ok,
562,28,17,ok,
563,28,18,ok,
564,28,21,ok,
565,28,17,ok,
566,28,18,ok,
567,28,18,ok,
568,28,16,ok,
569,28,16,ok,
570,28,19,ok,
571,28,20,ok,
572,28,16,ok,
573,28,17,ok,
574,28,17,ok,
575,28,21,ok,
576,28,18,ok,
577,28,21,ok,
578,28,25,ok,
579,28,18,ok,
580,28,15,ok,
581,28,14,ok,
582,28,17,ok,
583,28,19,ok,
584,28,18,ok,
585,28,16,ok,
586,28,19,ok,
587,28,16,ok,
588,28,19,ok,
589,28,16,ok,
590,28,18,ok,
591,28,18,ok,
592,28,20,ok,
593,28,17,ok,
594,28,19,ok,
595,28,17,ok,
596,28,16,ok,
597,28,17,ok,
598,28,18,ok,
599,28,16,ok,
600,28,20,ok,
601,28,18,ok,
602,28,17,ok,
603,28,19,ok,
604,28,19,ok,
605,28,19,ok,
606,28,18,ok,
607,28,16,ok,
608,28,16,ok,
609,28,20,ok,
610,28,16,ok,
611,28,18,ok,
612,28,18,ok,
613,28,22,ok,
614,28,18,ok,
615,28,18,ok,
616,28,19,ok,
617,28,19,ok,
618,28,20,ok,
619,28,21,ok,
620,28,19,ok,
621,28,16,ok,
622,28,20,ok,
623,28,21,ok,
624,28,19,ok,
625,28,17,ok,
626,28,19,ok,
627,28,15,ok,
628,28,18,ok,
629,28,16,ok,
630,28,22,ok,
631,28,18,ok,
632,28,20,ok,
633,28,19,ok,
634,28,15,ok,
635,28,17,ok,
636,28,15,ok,
637,28,16,ok,
638,28,17,ok,
639,28,18,ok,
640,28,17,ok,
641,28,17,ok,
642,28,19,ok,
643,28,16,ok,
644,28,18,ok,
645,28,20,ok,
646,28,18,ok,
647,28,17,ok,
648,28,21,ok,
649,28,18,ok,
650,28,18,ok,
651,28,14,ok,
652,28,19,ok,
653,28,16,ok,
654,28,18,ok,
655,28,17,ok,
656,28,15,ok,
657,28,17,ok,
658,28,17,ok,
659,28,18,ok,
660,28,18,ok,
661,28,17,ok,
662,28,17,ok,
663,28,18,ok,
664,28,17,ok,
665,28,20,ok,
666,28,19,ok,
667,28,15,ok,
668,28,18,ok,
