ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,rank_equal,rank_critic,rank_change_critic_minus_equal,absolute_rank_change
MRKV,73.20585961993076,0.0,57.03147426739045,55.558663893498334,100.0,57.15919955616391,36.025989058056226,6.0,8.0,2.0,2.0
MRKZ,54.885811989481326,0.0,38.33608233896025,,100.0,,,,,,
MSNG,,36.08488067145302,43.08819381056352,,,,,,,,
MSRS,,0.0,41.640376323160446,53.214124756280086,100.0,,,,,,
MTLR,47.53149785600219,0.0,56.19887804947419,,0.0,,,,,,
MTSS,,68.3010746090859,29.04703232178363,60.32096149140478,100.0,,,,,,
MVID,57.99635967379585,0.0,62.53750825874338,,100.0,,,,,,
NKHP,39.3696247752281,0.0,55.14020634522141,,,,,,,,
NKNC,82.00320255260027,0.0,51.952647786510454,57.50229313151695,100.0,58.29162869412554,36.265735417211125,5.0,7.0,2.0,2.0
NLMK,65.76939888570726,45.5340497393906,15.92196014211214,,100.0,,,,,,
NMTP,58.15891991630203,0.0,11.505202315241084,,100.0,,,,,,
NVTK,85.61558919473364,22.7670248696953,33.518706992973705,,100.0,,,,,,
OGKB,,0.0,17.954792843301743,,,,,,,,
OKEY,72.48764186675437,22.7670248696953,26.910490003873587,,,,,,,,
OZON,,,,,,,,,,,
OZPH,,,26.629953361163302,,100.0,,,,,,
PHOR,52.708335749113616,0.0,46.14580060687954,47.61191769916456,100.0,49.29321081103154,28.526020567682398,23.0,23.0,0.0,0.0
PIKK,56.78517088634679,0.0,17.125485499215316,53.04525034138326,100.0,45.39118134538908,21.78074642894385,26.0,26.0,0.0,0.0
PLZL,66.97382563287587,36.08488067145302,24.74575292659673,,,,,,,,
POLY,82.47304185394665,72.16976134290604,55.05755311827553,55.980167369526704,,,,,,,
POSI,,36.08488067145302,18.029951982707075,35.8081249168174,0.0,,,,,,
PRMD,69.40520865500473,0.0,48.67601391152162,47.46857747092461,100.0,53.1099600074902,31.843507797968908,14.0,14.0,0.0,0.0
QIWI,,,42.688637960632015,,,,,,,,
RASP,58.04166900705124,5.691756217423825,15.999476829849058,41.5480696949225,,,,,,,
RENI,62.79123078401961,52.8633946819448,30.503775168311986,45.32544960812873,100.0,58.29677004848103,46.96120055324058,4.0,3.0,-1.0,1.0
RKKE,53.76834973769254,0.0,31.528308171601825,29.959978924186753,,,,,,,
RNFT,,,18.708418952304097,,100.0,,,,,,
ROSN,,0.0,51.6559347060197,,100.0,,,,,,
RTKM,70.92091572721799,0.0,57.531101451457666,,100.0,,,,,,
RUAL,,36.08488067145302,41.71002620948693,51.304363795758455,100.0,,,,,,
SBER,,0.0,51.42273281040695,,50.0,,,,,,
SELG,,0.0,23.824896405729937,,100.0,,,,,,
SFIN,,,9.262844681336263,,100.0,,,,,,
SGZH,,75.63041955164012,7.570679132920538,,100.0,,,,,,
SMLT,62.56793102881347,0.0,41.46976620734526,47.618552233104,100.0,50.33124989385255,28.75391508062069,22.0,21.0,-1.0,1.0
SNGS,73.13531206111303,0.0,57.39939848390748,,,,,,,,
SOFL,66.56753424923825,0.0,41.06821708661303,44.525345175815296,100.0,50.43221930233332,28.80145013846724,21.0,20.0,-1.0,1.0
SPBE,50.184006857565485,0.0,8.599169047721231,56.67756654093,100.0,43.09214848924335,18.881114769320256,28.0,28.0,0.0,0.0
SVAV,,0.0,80.70801686543366,,,,,,,,
SVCB,,22.7670248696953,58.50043366272084,52.66044766766097,100.0,,,,,,
T,,,17.171808549387706,,,,,,,,
TATN,71.36631971421447,0.0,23.98841654767983,57.2352051099389,100.0,50.517988274366644,26.64580870874672,20.0,25.0,5.0,5.0
TGKA,,,13.741618621724694,,,,,,,,
TGKB,,,18.439413818761505,,100.0,,,,,,
TRMK,64.18488122506675,0.0,47.49306430105552,49.875075864757264,,,,,,,
TRNFP,66.58383046807788,0.0,30.2383991955281,,100.0,,,,,,
TTLK,65.27739683836148,0.0,55.97880861893003,52.63331944267114,100.0,54.77790497999253,34.040475040503864,10.0,11.0,1.0,1.0
UGLD,,,53.022943934166,,100.0,,,,,,
UPRO,51.126005608083545,0.0,7.8278016116207105,,,,,,,,
VKCO,60.469945397069814,18.04244033572651,17.98339693700602,61.7436553411954,,,,,,,
VSEH,57.71847666264745,0.0,17.41092390396081,,100.0,,,,,,
VSMO,53.12191789937572,0.0,18.37229542373829,,,,,,,,
VTBR,72.5287975092278,0.0,40.267013735357175,,100.0,,,,,,
WUSH,54.5994382897587,0.0,24.316749958165666,,100.0,,,,,,
YDEX,60.5876229282267,0.0,12.970251185624171,,100.0,,,,,,
ZAYM,62.77231415492315,0.0,9.627658962521924,,100.0,,,,,,
