ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,rank_equal,rank_critic,rank_change_critic_minus_equal,absolute_rank_change
FIXP,65.32497172618991,0.0,34.31022837476299,53.42837374203986,100.0,50.612714768598565,53.00687439650302,32.0,36.0,4.0,4.0
FLOT,72.34427847667074,0.0,45.598991415808264,43.15324548313875,,,,,,,
GAZP,64.26890370593162,2.0697295336086636,51.4596788409585,51.467568415980566,100.0,53.85317609929587,56.575878716386676,11.0,17.0,6.0,6.0
GEMC,51.01055672530344,0.0,19.923864489253212,58.15515350368304,100.0,45.81791494364794,48.87306458740079,56.0,56.0,0.0,0.0
GLTR,48.77642272327147,4.527069657011409,45.40705091998934,66.74338236547645,50.0,43.09078513314974,41.092291738678036,63.0,63.0,0.0,0.0
GMKN,63.48695680579329,36.08488067145302,48.29054033150353,33.321688468800744,100.0,56.23681325551012,60.864561294556395,6.0,4.0,-2.0,2.0
HEAD,53.91530815579373,13.078201231366291,44.19911505021361,55.79999509582,100.0,53.39852390663873,56.827419951768476,15.0,14.0,-1.0,1.0
HNFG,54.78942861595442,0.0,37.49232493704498,59.2383619114317,100.0,50.30402309288622,53.12273483635608,33.0,33.0,0.0,0.0
HYDR,54.48805954511331,0.0,27.085203421778857,34.98939231719343,100.0,43.31253105681712,47.50048605512558,60.0,59.0,-1.0,1.0
IRAO,61.53545078828197,10.616228546408344,50.03287293524312,44.080509740510536,100.0,53.25301240208879,56.79377683662559,16.0,15.0,-1.0,1.0
IVAT,63.681396921008904,0.0,38.49529042470968,52.4252294004681,100.0,50.92038334923734,53.51079881636274,30.0,30.0,0.0,0.0
KAZT,56.34515821469196,8.756548026805886,49.41739030672249,48.83412165933572,100.0,52.67064364151122,56.25491380966541,18.0,19.0,1.0,1.0
KZOS,64.09319456460128,0.0,51.85951460276167,,100.0,,,,,,
LEAS,58.11586712880895,22.7670248696953,50.06782079442586,,100.0,,,,,,
LENT,60.390581236295,45.5340497393906,48.74990918088772,,100.0,,,,,,
LKOH,63.124868978656494,0.0,55.61214964352712,,,,,,,,
LSNGP,61.53855688512,3.502619210722354,42.588216774779795,42.36228018239411,100.0,49.99833461060325,53.428078679050195,35.0,31.0,-4.0,4.0
LSRG,56.175777508400614,4.009431185717002,49.786525025931866,,,,,,,,
MAGN,62.77064038455721,21.610125550363204,50.695328965131395,,0.0,,,,,,
MBNK,57.21868271473403,0.0,69.45843925797828,,100.0,,,,,,
MDMG,54.09530720958217,18.04244033572651,50.65511110883206,,100.0,,,,,,
MGNT,64.39543994622397,11.598439475615436,43.3805629683545,,100.0,,,,,,
MGTSP,45.78103905974574,14.712976385287082,47.23631700683596,54.982537899694826,100.0,52.54257407031273,56.64843434062941,19.0,16.0,-3.0,3.0
MOEX,55.82316252827312,20.53806258982882,41.70029593120441,49.02500175359356,100.0,53.41730456057998,57.269375688610836,14.0,11.0,-3.0,3.0
MRKC,41.123862438027494,0.0,42.42305366743543,51.53592518382148,100.0,47.01656825785688,51.27194346368166,50.0,46.0,-4.0,4.0
MRKP,41.09415563666688,0.0,40.92979085213758,54.7908547241697,100.0,47.36296024259484,51.42418843174673,48.0,44.0,-4.0,4.0
MRKU,41.034073486229154,7.447686681539542,39.02618821325072,38.19302899406835,100.0,45.140195475017556,50.33477252433747,58.0,50.0,-8.0,8.0
MRKV,43.425328270793635,7.028388887238244,38.361867347790536,51.961179696307056,100.0,48.1553528404259,52.37085943152281,43.0,38.0,-5.0,5.0
MRKZ,44.736522526409686,4.726901221977507,45.30529268579022,49.43524250075179,100.0,48.84079178698585,53.091393724046156,38.0,34.0,-4.0,4.0
MSNG,46.09960881538563,5.829923600774545,29.09196870606605,55.73163383453001,,,,,,,
MSRS,50.70884770819585,1.626216062121093,42.41047461076073,46.51904534746996,100.0,48.25291674570953,52.16079539013525,41.0,40.0,-1.0,1.0
MTLR,51.22583921961327,12.783023865709396,43.159970204344425,,0.0,,,,,,
MTSS,68.90133047381534,25.564679438381916,43.836958929438765,50.75010102132141,100.0,57.81061397259148,60.77146998291517,4.0,5.0,1.0,1.0
MVID,47.72361531753382,6.559829628089028,22.489985235138015,53.03690917276276,100.0,45.96206787070473,49.71653192454808,54.0,55.0,1.0,1.0
NKHP,44.12643274710168,0.0,26.366894873066816,,,,,,,,
NKNC,52.03606496891562,11.889673752089385,36.826273529334784,57.50229313151695,100.0,51.650861076371356,55.04636047275557,24.0,22.0,-2.0,2.0
NLMK,62.25763222538684,16.050519693040453,42.01566680414644,44.375950893570725,100.0,52.9399539232289,56.50064269712709,17.0,18.0,1.0,1.0
NMTP,43.90731885399019,0.0,12.452864937743772,,100.0,,,,,,
NVTK,57.84914099301495,5.059338859932289,39.02860762665828,,100.0,,,,,,
