scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight
723,0.9469074986316366,0.8518518518518519,1.7857142857142858,9.0,0.8181818181818182,0.16949209039079438,0.27553185822813464,dirichlet_10,,
724,0.9781061850027366,0.8888888888888887,1.2142857142857142,5.0,0.6666666666666666,0.19894107328411947,0.2638383535469455,dirichlet_10,,
725,0.9923371647509577,0.9629629629629629,0.5,4.0,1.0,0.14008719857809282,0.2545701778658456,dirichlet_10,,
726,0.9890530925013684,0.9259259259259259,0.8571428571428571,3.0,0.6666666666666666,0.224701822978179,0.2683866058859481,dirichlet_10,,
727,0.9742747673782157,0.8888888888888887,1.1428571428571428,6.0,1.0,0.26777369114677996,0.3126414301548377,dirichlet_10,,
728,0.9813902572523261,0.91005291005291,1.0,5.0,0.8181818181818182,0.15559231731914433,0.24462149641884018,dirichlet_10,,
729,0.9923371647509577,0.947089947089947,0.6428571428571429,2.0,1.0,0.10508227806025125,0.22723572973210016,dirichlet_10,,
730,0.9447181171319102,0.8201058201058201,2.0,8.0,0.8181818181818182,0.3945901441443814,0.31249205003087605,dirichlet_10,,
731,0.9764641488779421,0.8888888888888887,1.2857142857142858,5.0,1.0,0.23036822061977413,0.31518411030988713,dirichlet_10,,
732,0.9748221127531472,0.8888888888888887,1.1428571428571428,6.0,1.0,0.18481032586391932,0.26586980265481464,dirichlet_10,,
733,0.9956212370005473,0.9629629629629629,0.42857142857142855,2.0,1.0,0.10011097693121479,0.2451721320394627,dirichlet_10,,
734,0.9792008757525997,0.9047619047619047,1.1428571428571428,4.0,0.8181818181818182,0.2046600997143254,0.28577699038956544,dirichlet_10,,
735,0.9923371647509577,0.9523809523809524,0.6428571428571429,3.0,0.8181818181818182,0.13011390812336296,0.2480825521401255,dirichlet_10,,
736,0.9551176792556102,0.8412698412698412,1.5714285714285714,6.0,0.8181818181818182,0.26709756342812924,0.28884740009939475,dirichlet_10,,
737,0.9775588396278051,0.8994708994708994,1.2142857142857142,5.0,0.8181818181818182,0.22178847450730924,0.27997391024398954,dirichlet_10,,
738,0.9649698960043787,0.8624338624338624,1.4285714285714286,7.0,0.6666666666666666,0.3034223446294344,0.32991176935944116,dirichlet_10,,
739,0.9819376026272578,0.9047619047619047,1.0714285714285714,4.0,1.0,0.1527580216770162,0.25385644154723375,dirichlet_10,,
