scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight
1795,0.9930402930402931,0.9404761904761904,1.53125,8.0,0.8181818181818182,0.17152886165043202,0.285764430825216,dirichlet_1,,
1796,0.8856227106227105,0.7123015873015873,6.875,26.0,0.5384615384615384,0.7177875983835853,0.4710206289752007,dirichlet_1,,
1797,0.8577838827838827,0.6974206349206349,7.0625,33.0,0.6666666666666666,0.7946873375866214,0.5036250918258243,dirichlet_1,,
1798,0.8963827838827838,0.7460317460317459,6.0625,31.0,0.6666666666666666,0.7604615865286335,0.41851128860224596,dirichlet_1,,
1799,0.7813186813186812,0.6587301587301587,7.8125,60.0,0.42857142857142855,0.6860242632887172,0.5408737939816948,dirichlet_1,,
1800,0.7363553113553113,0.5525793650793651,10.25,41.0,0.3333333333333333,0.634243798430387,0.5087311399822269,dirichlet_1,,
1801,0.6558150183150182,0.5079365079365079,10.46875,59.0,0.3333333333333333,0.6937740094681689,0.5468870047340845,dirichlet_1,,
1802,0.928205128205128,0.7886904761904762,5.09375,23.0,0.6666666666666666,0.7894180510188438,0.5250723155761486,dirichlet_1,,
1803,0.7496336996336994,0.6121031746031745,9.1875,60.0,0.6666666666666666,1.1226893626728878,0.662183932614189,dirichlet_1,,
1804,0.9115842490842491,0.7906746031746031,5.0,37.0,0.8181818181818182,0.4714629922287764,0.4357314961143882,dirichlet_1,,
1805,0.8095695970695969,0.6428571428571428,8.1875,46.0,0.42857142857142855,0.585103595391613,0.4695140372919328,dirichlet_1,,
1806,0.8608516483516483,0.689484126984127,7.0625,32.0,0.3333333333333333,0.44218001822718744,0.3521603601933947,dirichlet_1,,
1807,0.8992216117216117,0.7509920634920634,5.78125,32.0,0.3333333333333333,0.47723660545433894,0.32847596585646843,dirichlet_1,,
1808,0.8714285714285713,0.7212301587301587,6.3125,36.0,0.3333333333333333,0.521199865616643,0.35880388291687043,dirichlet_1,,
1809,0.9072344322344321,0.7559523809523808,5.78125,35.0,0.8181818181818182,0.412004564261534,0.35119672406665187,dirichlet_1,,
1810,0.824587912087912,0.6418650793650794,8.625,26.0,0.5384615384615384,0.4034595627612564,0.38479158662829827,dirichlet_1,,
1811,0.7907051282051281,0.6001984126984127,9.4375,31.0,0.3333333333333333,0.677711555812617,0.4709952927452961,dirichlet_1,,
1812,0.7408882783882783,0.5595238095238095,10.40625,45.0,0.42857142857142855,0.8257025686097442,0.5245118745368228,dirichlet_1,,
1813,0.8728937728937727,0.6984126984126984,6.9375,30.0,0.5384615384615384,0.46930608510017924,0.4013918023798409,dirichlet_1,,
1814,0.9615842490842489,0.8402777777777777,4.0,15.0,0.8181818181818182,0.3815139673782305,0.3819289722972024,dirichlet_1,,
1815,0.7587454212454212,0.5773809523809523,9.71875,41.0,0.42857142857142855,0.4822862388936664,0.4406309197525304,dirichlet_1,,
1816,0.7494963369963369,0.5744047619047619,9.5625,42.0,0.42857142857142855,0.564939386373336,0.48246969318666794,dirichlet_1,,
1817,0.9525641025641026,0.8373015873015872,3.9375,24.0,0.42857142857142855,0.33446901055378253,0.28502302859371853,dirichlet_1,,
1818,0.8744963369963369,0.7301587301587301,5.9375,42.0,0.5384615384615384,0.41950926629949237,0.37994453368144876,dirichlet_1,,
1819,0.7687728937728937,0.6259920634920635,8.09375,57.0,0.5384615384615384,0.7353925372571629,0.48247954363549883,dirichlet_1,,
1820,0.9159340659340658,0.7688492063492063,5.625,30.0,0.6666666666666666,0.5504910476930097,0.4752455238465048,dirichlet_1,,
1821,0.7043956043956043,0.5238095238095237,11.0,42.0,0.3333333333333333,0.6738245285099058,0.47762919716944924,dirichlet_1,,
1822,0.954029304029304,0.8244047619047619,4.3125,17.0,1.0,0.26824534636477126,0.3027377311002465,dirichlet_1,,
1823,0.7329212454212454,0.6537698412698413,7.15625,58.0,0.3333333333333333,0.5865439979496545,0.3560040279949364,dirichlet_1,,
1824,0.6872710622710622,0.501984126984127,11.53125,43.0,0.3333333333333333,0.708269638453134,0.48258666599787087,dirichlet_1,,
1825,0.8522435897435896,0.6607142857142857,7.71875,29.0,0.42857142857142855,0.8469502194781642,0.5161532523867733,dirichlet_1,,
1826,0.9752747252747251,0.8799603174603174,3.03125,14.0,0.8181818181818182,0.30195261296290776,0.2799164684915639,dirichlet_1,,
1827,0.8716117216117214,0.7261904761904762,6.59375,49.0,0.42857142857142855,0.5300689796251277,0.4650344898125639,dirichlet_1,,
1828,0.8768772893772893,0.7172619047619047,6.96875,30.0,0.6666666666666666,0.6990929618084976,0.5495464809042487,dirichlet_1,,
1829,0.8166666666666665,0.6488095238095237,7.8125,44.0,0.5384615384615384,0.7611820012084608,0.4486574872361001,dirichlet_1,,
1830,0.8627747252747251,0.689484126984127,7.5625,24.0,0.6666666666666666,0.4302608633831464,0.306927925480816,dirichlet_1,,
1831,0.6732600732600732,0.49801587301587297,10.9375,41.0,0.6666666666666666,1.0208754487938987,0.7104377243969493,dirichlet_1,,
1832,0.9606684981684981,0.8422619047619047,3.84375,15.0,0.8181818181818182,0.35201044946562743,0.295915037679844,dirichlet_1,,
1833,0.49152930402930395,0.35912698412698413,13.65625,60.0,0.17647058823529413,0.91274521803721,0.6563726090186051,dirichlet_1,,
1834,0.7579212454212454,0.5625,10.375,35.0,0.3333333333333333,0.7952763289404132,0.5976381644702066,dirichlet_1,,
1835,0.6978937728937727,0.5426587301587301,10.4375,60.0,0.3333333333333333,1.1865058894735618,0.793252944736781,dirichlet_1,,
1836,0.8932692307692306,0.7886904761904762,4.9375,44.0,0.8181818181818182,0.534408820475333,0.3498069220761665,dirichlet_1,,
1837,0.8173992673992673,0.6488095238095237,7.9375,40.0,0.3333333333333333,0.5657813200186266,0.4002034464136468,dirichlet_1,,
1838,0.9439102564102564,0.8035714285714285,4.59375,17.0,0.5384615384615384,0.42168867997238935,0.37364819986627995,dirichlet_1,,
1839,0.7806776556776555,0.6418650793650794,7.90625,58.0,0.42857142857142855,0.8985153062684879,0.4699761341595827,dirichlet_1,,
1840,0.948489010989011,0.8134920634920635,4.53125,17.0,0.6666666666666666,0.7677311790326369,0.5451219333886084,dirichlet_1,,
1841,0.9668498168498166,0.8511904761904763,3.59375,16.0,0.5384615384615384,0.24398595854955551,0.2835748440623805,dirichlet_1,,
