model_id,sample,outcome,block,specification,family,formula,status,reason,n,rank,df_resid,r2,adj_r2,sse,cv_r2,cv_rmse,max_leverage,condition_number,dropped_constant
ceo__stock_return_2024__components_joint__C2024__main,ceo,stock_return_2024,components_joint,C2024,main,stock_return_2024 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,21,10.0,11.0,0.5011544672901247,0.09300812234568123,0.7552996456211045,-5.2983531760585185,0.6738767215120434,0.9608922372268714,876.8609837559504,communication_score_10
ceo__stock_return_2025_w__components_joint__W2025__main,ceo,stock_return_2025_w,components_joint,W2025,main,stock_return_2025_w ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,20,11.0,9.0,0.5728890019366786,0.09832122631076579,1.0448119170332801,,,0.9999999999999928,973.6271491471698,communication_score_10
all_managers__roa_2025__components_joint__common_no_industry__comparison,all_managers,roa_2025,components_joint,common_no_industry,comparison,roa_2025 ~ roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10,undefined_hc3_and_press_leverage_one,,56,12.0,44.0,0.6380283162737048,0.547535395342131,0.38652659110391496,,,1.0000000000000016,895.9088866154143,
all_managers__roa_2025__components_joint__common_industry__comparison,all_managers,roa_2025,components_joint,common_industry,comparison,roa_2025 ~ roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,56,17.0,39.0,0.7336572852926446,0.6243884792588579,0.2844104834980439,,,1.0000000000000013,1089.331017337007,
all_managers__stock_return_2025__components_joint__common_no_industry__comparison,all_managers,stock_return_2025,components_joint,common_no_industry,comparison,stock_return_2025 ~ stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10,undefined_hc3_and_press_leverage_one,,43,12.0,31.0,0.5598007610921427,0.40360103115709667,3.308989963500286,,,1.000000000000002,917.2749889368998,
all_managers__stock_return_2025__controls__common_industry__comparison,all_managers,stock_return_2025,controls,common_industry,comparison,stock_return_2025 ~ stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,43,11.0,32.0,0.6326504864479663,0.5178537634629558,2.7613765449849694,,,0.9999999999999989,886.6949717851518,
all_managers__stock_return_2025__education__common_industry__comparison,all_managers,stock_return_2025,education,common_industry,comparison,stock_return_2025 ~ stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + expertise_score_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,43,12.0,31.0,0.634498810120314,0.5048048395178447,2.747482644358806,,,0.999999999999994,891.2888714388893,
all_managers__stock_return_2025__index_equal__common_industry__comparison,all_managers,stock_return_2025,index_equal,common_industry,comparison,stock_return_2025 ~ stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + index_equal_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,43,12.0,31.0,0.644698961991337,0.5186244001172953,2.670807818088925,,,0.9999999999999981,913.2576225768265,
all_managers__stock_return_2025__index_critic__common_industry__comparison,all_managers,stock_return_2025,index_critic,common_industry,comparison,stock_return_2025 ~ stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + index_critic_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,43,12.0,31.0,0.6453424779079517,0.5194962603914185,2.6659704909851474,,,0.9999999999999991,910.7992377946405,
all_managers__stock_return_2025__components_joint__common_industry__comparison,all_managers,stock_return_2025,components_joint,common_industry,comparison,stock_return_2025 ~ stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,43,16.0,27.0,0.6761521797357284,0.4962367240333553,2.434373102540118,,,1.0000000000000013,1067.8289251905999,
ceo__roa_2025__components_joint__common_no_industry__comparison,ceo,roa_2025,components_joint,common_no_industry,comparison,roa_2025 ~ roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10,ok,,27,11.0,16.0,0.9285922220341372,0.8839623608054729,0.03124480653815511,0.7336183243266802,0.06570318936468292,0.933254035802418,838.5130630393677,communication_score_10
ceo__roa_2025__controls__common_industry__comparison,ceo,roa_2025,controls,common_industry,comparison,roa_2025 ~ roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,27,12.0,15.0,0.9241845114777228,0.8685864865613863,0.03317342086469509,,,1.0000000000000022,1087.858876247348,
ceo__roa_2025__education__common_industry__comparison,ceo,roa_2025,education,common_industry,comparison,roa_2025 ~ roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + expertise_score_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,27,13.0,14.0,0.9256994309947594,0.8620132289902674,0.03251056075926918,,,0.9999999999999992,1133.1737460959412,
ceo__roa_2025__index_equal__common_industry__comparison,ceo,roa_2025,index_equal,common_industry,comparison,roa_2025 ~ roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + index_equal_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,27,13.0,14.0,0.9419227218762714,0.8921421977702182,0.02541198411335558,,,1.0000000000000029,1401.8272704043616,
ceo__roa_2025__index_critic__common_industry__comparison,ceo,roa_2025,index_critic,common_industry,comparison,roa_2025 ~ roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + index_critic_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,27,13.0,14.0,0.935671903378283,0.8805335348453827,0.02814705892226695,,,1.0,1198.8678858093442,
ceo__roa_2025__components_joint__common_industry__comparison,ceo,roa_2025,components_joint,common_industry,comparison,roa_2025 ~ roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,27,16.0,11.0,0.961033415406453,0.9078971636879799,0.017050010961832056,,,1.0000000000000082,1296.4128531004671,communication_score_10
ceo__stock_return_2025__components_joint__common_no_industry__comparison,ceo,stock_return_2025,components_joint,common_no_industry,comparison,stock_return_2025 ~ stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10,undefined_hc3_and_press_leverage_one,,20,11.0,9.0,0.551732069154044,0.05365659043631532,1.9162086826475542,,,0.9999999999999933,973.6271491471688,communication_score_10
ceo__stock_return_2025__components_joint__common_industry__comparison,ceo,stock_return_2025,components_joint,common_industry,comparison,stock_return_2025 ~ stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + C(industry_group),undefined_hc3_and_press_leverage_one,,20,13.0,7.0,0.8417129221748254,0.5703636459030975,0.6766289801438848,,,0.9999999999999938,1202.8665683741401,communication_score_10
