ticker,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024
MRKV,"ПАО ""РОССЕТИ ВОЛГА""",19,Передача электроэнергии,MRKV,,,69190660000.0,79976510000.0,86384071000.0,105433000000.0,37003477000.0,46549788000.0,0.0394,0.1136,0.056,0.0644,0.0074,0.28,0.06405,0.15405,0.0212,1.74,1,1,0.428359958,0.441508695,0.80096549,0.758549632,25.18206913233347,
MRKZ,"ПАО ""РОССЕТИ СЕВЕРО-ЗАПАД""",21,Передача электроэнергии,MRKZ,,,46473875000.0,52916214000.0,73919429000.0,86698123000.0,51446854000.0,60531709000.0,0.0334,0.046,0.0912,0.05505,0.0,-0.4,0.0542,0.09765,0.0,0.8,1,1,0.695985544,0.698189383,0.62870988,0.610350169,25.026241539682907,
MSNG,"ПАО ""МОСЭНЕРГО""",33,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",MSNG,,,236207000000.0,239981000000.0,402607000000.0,409595000000.0,65344874000.0,61492513000.0,0.0272,0.0263,3.1395,2.3585,0.0,-0.25,2.3255,2.085,0.272,0.01,1,1,0.162304426,0.150130049,0.58669438,0.585898138,26.72122673698555,
MSRS,"ПАО ""РОССЕТИ МОСКОВСКИЙ РЕГИОН"", ПАО ""РОССЕТИ МР""",21,Передача электроэнергии,MSRS,15245.0,,434039000000.0,509917000000.0,525985000000.0,605177000000.0,297747000000.0,344199000000.0,0.0399,0.0708,1.2995,1.1635,0.151,0.01,1.155,1.46,0.187,0.43,1,1,0.566075048,0.568758002,0.82519289,0.842591336,26.988538532167233,9.632006859422356
MTLR,"ПАО ""МЕЧЕЛ""",23,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",MTLR,,,318000.0,64000.0,254737000000.0,234380000000.0,250182000000.0,240237000000.0,-0.0386,-0.0426,326.74,108.29,0.0,-0.67,104.83,73.57,0.0,-0.3,0,0,0.98211696,1.024986248,1.2483e-06,2.7306e-07,26.263497477325167,
MTSS,"ПАО ""МТС""",26,Деятельность по предоставлению услуг подвижной связи для целей передачи данных,MTSS,,,428984000000.0,412195000000.0,1329580000000.0,1521630000000.0,1239310000000.0,1395390000000.0,0.0307,0.0183,250.2,210.65,35.0,-0.02,205.3,213.9,35.0,0.21,0,0,0.932101839,0.917035644,0.32264501,0.270889719,27.91588421881653,
MVID,"ПАО ""М.ВИДЕО""",19,Деятельность по управлению финансово-промышленными группами,MVID,3.0,3.0,,,12688782000.0,45607237000.0,55827000.0,32937357000.0,0.012,0.0013,168.2,94.0,0.0,-0.44,90.0,81.05,0.0,-0.1,0,0,0.004399713,0.722195844,,,23.26398413297876,1.0986122886681098
NKHP,"ПАО ""НКХП""",30,Хранение и складирование зерна,NKHP,628.0,,11035830000.0,11134165000.0,18425183000.0,19538387000.0,2620198000.0,1603307000.0,0.3578,0.1824,1009.5,589.5,47.48,-0.37,599.0,492.0,25.62,-0.14,0,0,0.142207434,0.082059333,0.59895362,0.569861013,23.63698420712988,6.4425401664681985
NKNC,"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""",33,Производство пластмасс и синтетических смол в первичных формах,NKNC,,,364068000000.0,447733000000.0,525680000000.0,615400000000.0,262833000000.0,338907000000.0,0.0668,0.0333,104.05,90.0,2.93,-0.11,90.05,78.05,0.83,-0.12,0,0,0.499985909,0.550709599,0.69256605,0.727546936,26.987958499536024,
NLMK,"ПАО ""НЛМК""",33,"Производство стали в слитках, выплавляемой прочими способами",NLMK,,,321588000000.0,364587000000.0,894223000000.0,914624000000.0,310472000000.0,244027000000.0,0.0559,0.0958,180.94,147.78,25.43,-0.04,144.54,106.72,0.0,-0.26,0,0,0.347197432,0.266806107,0.35962803,0.398619014,27.519221021730647,
NMTP,"ПАО ""НМТП""",33,Транспортная обработка прочих грузов,NMTP,,,32133810000.0,34109273000.0,165134000000.0,189528000000.0,14094620000.0,15338742000.0,0.2515,0.23,12.455,9.175,0.957,-0.19,8.965,8.635,1.145,0.09,1,1,0.085352527,0.080931209,0.19459211,0.179969434,25.830023102467116,
OGKB,"ПАО ""ОГК-2""",21,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",OGKB,,,133083000000.0,152162000000.0,224171000000.0,249324000000.0,52380390000.0,86999132000.0,0.0488,-0.0058,0.5664,0.3475,0.0598,-0.28,0.3364,0.3316,0.0,-0.01,1,1,0.23366213,0.348939607,0.59366552,0.610298041,26.135674990422476,
OKEY,"ООО ""О`КЕЙ""",25,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",OKEY,,,31345562000.0,24207019000.0,125270000000.0,107049000000.0,115750000000.0,108206000000.0,-0.0109,-0.391,30.56,32.42,0.0,0.06,30.4,33.97,0.0,0.12,0,0,0.924001428,1.010808319,0.25022386,0.226129638,25.553737244802512,
OZON,Озон Холдингс ПиЭлСи,27,Деятельность холдинговых компаний,OZON,86000.0,53000.0,129381000000.0,158727000000.0,890000000000.0,1430000000000.0,641900000000.0,1052000000000.0,-0.067,-0.001,2825.5,3301.0,0.0,0.17,3193.5,4519.0,213.55,0.48,0,0,0.721235955,0.735664336,0.14537191,0.110997902,27.514487299672595,11.362102575235644
OZPH,"ПАО ""Озон Фармацевтика""",24,Деятельность холдинговых компаний,OZPH,3005.0,3153.0,9809309000.0,10617427000.0,49500000000.0,53200000000.0,15500000000.0,11800000000.0,0.093,0.116,,41.47,0.44,,48.0,51.44,1.07,0.09,0,0,0.313131313,0.221804511,0.19816786,0.199575695,24.625238506521058,8.008032846969307
PHOR,"ПАО ""ФОСАГРО""",24,Деятельность холдинговых компаний,PHOR,,,11967000.0,8875000.0,291884000000.0,335268000000.0,243044000000.0,252642000000.0,0.2809,0.2314,6663.0,6386.0,345.0,0.01,6305.0,6369.0,273.0,0.05,0,0,0.832676012,0.753551403,4.0999e-05,2.64713e-05,26.399622300011952,
PIKK,"ПАО ""ПИК СЗ""",31,"Капиталовложения в уставные капиталы, венчурное инвестирование, в том числе посредством инвестиционных компаний",PIKK,1881.0,,1436451000.0,744985000.0,280688000000.0,292628000000.0,97517312000.0,85857786000.0,0.0106,0.0835,678.9,507.8,0.0,-0.25,505.9,477.8,0.0,-0.06,0,0,0.347421996,0.293402773,0.0051176,0.002545846,26.36050956913324,7.53955882930103
