ticker,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024
PLZL,"ПАО ""ПОЛЮС""",20,Консультирование по вопросам коммерческой деятельности и управления,PLZL,,,,,2046120000000.0,3907930000000.0,185928000000.0,167523000000.0,0.4058,0.7138,10830.0,13981.0,203.17,0.31,14095.0,2398.4,163.65,-0.82,0,0,0.090868656,0.042867493,,,28.34696643276447,
POLY,Полиметалл Интернэшнл плс,27,"Иностранное юрлицо (Казахстан, AIX)",POLY,,,,,,,,,,,513.3,,,,,,,,0,0,,,,,,
POSI,"ПАО ""Группа Позитив""",23,Деятельность консультативная и работы в области компьютерных технологий,POSI,3160.0,2605.0,3279563000.0,3151183000.0,52700000000.0,61000000000.0,26400000000.0,24000000000.0,0.069,0.119,2037.0,2046.8,4.56,0.01,2011.4,991.4,28.08,-0.49,0,0,0.500948767,0.393442623,0.0622308,0.051658738,24.687881292493728,8.058327306580958
PRMD,"ПАО ""ПРОМОМЕД""",20,Деятельность холдинговых компаний,PRMD,2215.0,2826.0,16105376000.0,18652480000.0,53100000000.0,71000000000.0,20500000000.0,25900000000.0,0.054,0.099,,355.25,0.0,,393.0,405.35,0.0,0.03,0,0,0.38606403,0.364788732,0.30330275,0.262710986,24.695442765194304,7.703007682479236
QIWI,КИВИ ПиЭлСи,18,Деятельность холдинговых компаний,QIWI,,,,,,,,,,,595.5,183.8,,-0.69,179.2,,,-1.0,0,0,,,,,,
RASP,"ПАО ""РАСПАДСКАЯ""",34,Добыча коксующегося угля подземным способом,RASP,,,19433338000.0,21771403000.0,118818000000.0,114020000000.0,7191394000.0,10304989000.0,0.0057,-0.068,436.5,262.7,0.0,-0.4,261.25,163.1,0.0,-0.38,0,0,0.060524544,0.090378455,0.16355576,0.190943024,25.50085874754921,
RENI,ПАО Группа Ренессанс Страхование,28,"Страхование, кроме страхования жизни",RENI,3272.0,3095.0,1654892000.0,1535302000.0,266500000000.0,323200000000.0,256000000.0,44000000.0,0.041,0.034,94.0,110.5,10.0,0.28,108.38,95.72,10.0,-0.02,0,0,0.0009606,0.000136139,0.00620973,0.004750316,26.308640080552312,8.093156697722637
RKKE,"ПАО ""РКК ""ЭНЕРГИЯ""",32,"Научные исследования и разработки в области естественных и технических наук прочие, не включенные в другие группировки",RKKE,,,13830385000.0,14783714000.0,143571000000.0,170217000000.0,143616000000.0,169268000000.0,0.0112,0.001,24890.0,15420.0,0.0,-0.38,15190.0,16350.0,0.0,0.08,1,1,1.000313629,0.994423083,0.09633124,0.08685198,25.690095523305192,
RNFT,"ПАО ""НК ""РуссНефть""",23,Добыча сырой нефти и нефтяного (попутного) газа,RNFT,6033.0,6082.0,156140000000.0,177903000000.0,352100000000.0,356600000000.0,88300000000.0,90400000000.0,0.154,0.067,137.7,119.85,0.0,-0.13,116.55,97.1,0.0,-0.17,0,0,0.250781028,0.253505328,0.44345356,0.498886708,26.58718106310742,8.704999678440762
ROSN,"ПАО ""НК ""РОСНЕФТЬ""",30,Производство прочих нефтепродуктов,ROSN,,,2391080000000.0,,14207000000000.0,15097500000000.0,11552400000000.0,,0.039,0.0101,604.0,606.05,51.15,0.09,596.1,409.0,13.83,-0.29,1,1,0.813150017,,0.16830368,,30.284755916818487,
RTKM,"ПАО ""РОСТЕЛЕКОМ""",23,Деятельность по предоставлению услуг по передаче данных и услуг доступа к информационно-коммуникационной сети Интернет,RTKM,116500.0,,528337000000.0,539822000000.0,1199550000000.0,1307810000000.0,876426000000.0,982561000000.0,0.0489,0.0096,70.41,65.18,2.71,-0.04,64.3,64.24,2.71,0.04,1,1,0.730626038,0.751302532,0.44044389,0.412768024,27.81296760239242,11.665646551987892
RUAL,"МКПАО ""Объединенная компания ""РУСАЛ""",25,Деятельность холдинговых компаний,RUAL,58174.0,59228.0,610587000000.0,550012000000.0,2023000000000.0,1960000000000.0,49000000000.0,57300000000.0,0.032,-0.034,34.71,36.925,0.0,0.06,35.515,33.965,0.0,-0.04,0,0,0.024221453,0.029234694,0.30182234,0.28061833,28.335602674114156,10.971193798508354
SBER,ПАО Сбербанк,184,Денежное посредничество прочее,SBER,308092.0,291795.0,1204300000000.0,1397100000000.0,60855000000000.0,68815000000000.0,,,0.028,0.027,274.56,279.43,34.84,0.14,272.25,299.9,37.64,0.24,1,1,,,0.01978966,0.02030226,31.73951510125507,12.638153718652061
SELG,"ПАО ""СЕЛИГДАР""",19,Деятельность головных офисов,SELG,241.0,277.0,5137716000.0,4947451000.0,117541000000.0,183895000000.0,86772294000.0,151024000000.0,0.0006,0.0147,64.91,41.65,4.0,-0.3,41.67,42.62,0.0,0.02,0,0,0.738231929,0.821249888,0.0437101,0.026903662,25.49005304583677,5.484796933490655
SFIN,"ПАО ""ЭсЭфАй""",9,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",SFIN,3137.0,94.0,4650586000.0,44296000.0,353900000000.0,67600000000.0,226700000000.0,0.0,0.059,0.068,541.8,1372.0,311.1,2.11,1351.0,920.6,1074.0,0.48,0,0,0.640576434,0.0,0.01314096,0.000655266,26.592280224297827,8.051022208190679
SGZH,"ПАО ГК ""Сегежа""",11,Деятельность головных офисов,SGZH,18900.0,18020.0,46649000000.0,28610000000.0,206600000000.0,141700000000.0,152400000000.0,70100000000.0,-0.108,-0.623,3.782,1.287,0.0,-0.66,1.274,1.189,0.0,-0.07,0,0,0.737657309,0.494707128,0.2257938,0.201905434,26.05405039363195,9.846917201047734
SMLT,"ПАО ""ГК ""Самолет""",13,Строительство жилых и нежилых зданий,SMLT,7631.0,6139.0,7937000000.0,12157000000.0,961100000000.0,1020000000000.0,641100000000.0,749100000000.0,0.006,-0.002,3912.0,1040.0,0.0,-0.73,1009.5,985.0,0.0,-0.02,0,0,0.667048174,0.734411765,0.00825825,0.011918627,27.59134429877565,8.939974177289633
SNGS,"ПАО ""СУРГУТНЕФТЕГАЗ""",30,Добыча нефти,SNGS,,,1960210000000.0,1809260000000.0,9562020000000.0,9096780000000.0,1247900000000.0,1154800000000.0,0.1533,-0.0269,27.435,24.98,0.9,-0.06,24.545,21.715,0.85,-0.08,0,0,0.13050544,0.126946624,0.2049999,0.198890546,29.888820117742906,
SOFL,"ПАО ""Софтлайн""",32,Деятельность консультативная и работы в области компьютерных технологий,SOFL,11263.0,10665.0,7282000000.0,6660000000.0,100900000000.0,117700000000.0,21400000000.0,27900000000.0,0.037,0.016,148.12,118.94,2.5,-0.18,118.82,79.0,0.18,-0.33,0,0,0.212091179,0.237043331,0.07217047,0.056584537,25.337395764305974,9.329278296047697
SPBE,"ПАО ""СПБ Биржа""",28,Управление финансовыми рынками,SPBE,236.0,,1656103000.0,1493989000.0,90200000000.0,89000000000.0,,,0.011,0.006,79.7,127.5,0.0,0.6,122.7,255.5,0.0,1.08,0,0,,,0.01836034,0.016786393,25.22529526401499,5.4638318050256105
SVAV,"ПАО ""СОЛЛЕРС""",23,Деятельность головных офисов,SVAV,,,280086000.0,243389000.0,21631734000.0,20221127000.0,3879354000.0,624976000.0,0.2961,0.1934,812.5,698.0,70.0,-0.05,690.0,572.0,25.5,-0.13,0,0,0.179336247,0.030907081,0.01294792,0.012036372,23.79742724013373,
SVCB,"ПАО ""Совкомбанк",35,Денежное посредничество прочее,SVCB,35996.0,36672.0,31413000000.0,55142000000.0,4046000000000.0,4520000000000.0,,,,,14.245,14.185,0.35,0.02,14.085,12.61,0.35,-0.08,0,0,,,0.00776396,0.012199558,29.028749854674103,10.49116310015384
T,"МКПАО ""ТКС Холдинг""",19,Деятельность холдинговых компаний,"T, TCSG",20000.0,20000.0,100465000000.0,155738000000.0,5118000000000.0,6086000000000.0,,,0.035,0.036,3285.0,2752.2,124.5,-0.12,2687.6,3280.0,14.9,0.23,0,0,,,0.01962974,0.02558955,29.263784853666145,9.903487552536127
TATN,"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА",24,Производство жидкого топлива,TATN,,,434810000000.0,480742000000.0,1493120000000.0,1407310000000.0,500987000000.0,423627000000.0,0.1705,0.1006,720.9,688.9,98.7,0.09,668.7,580.7,34.09,-0.08,1,1,0.335530817,0.30101795,0.29120951,0.341602385,28.031889006339423,
TGKA,"ПАО ""ТГК-1""",21,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",TGKA,,,140265000000.0,144891000000.0,205736000000.0,213719000000.0,63920196000.0,67716533000.0,0.0049,0.02,0.008932,0.007688,0.00083,-0.05,0.007628,0.006512,0.0,-0.15,1,1,0.310690244,0.316848041,0.68177339,0.677952096,26.049859630446104,
TGKB,"ПАО ""ТГК-2""",21,Производство пара и горячей воды (тепловой энергии) тепловыми электростанциями,TGKB,,,29508888000.0,28545817000.0,49073122000.0,56107508000.0,40062406000.0,45457737000.0,0.0003,0.0312,0.01001,0.006525,0.0,-0.35,0.00652,0.00643,0.0,-0.01,0,0,0.816381847,0.810189913,0.60132486,0.508770003,24.61657730841949,
TRMK,"ПАО ""ТМК""",25,Деятельность холдинговых компаний,TRMK,,,6888467000.0,7141922000.0,550517000000.0,464686000000.0,495841000000.0,411729000000.0,0.0336,-0.0032,204.0,102.84,0.0,-0.5,102.42,102.42,0.0,0.0,0,0,0.900682686,0.886036639,0.01251272,0.015369357,27.034123673649596,
TRNFP,"ПАО ""Транснефть""",32,Транспортирование по трубопроводам нефти и нефтепродуктов,TRNFP,122700.0,,2663280000000.0,2702740000000.0,3691000000000.0,3702000000000.0,275900000000.0,207000000000.0,0.078,0.061,146000.0,1230.5,198.25,-0.99,1196.5,1378.0,204.17,0.32,1,1,0.07474939,0.055915721,0.72155974,0.730075905,28.93691853997641,11.717497630699002
TTLK,"ПАО ""ТАТТЕЛЕКОМ""",23,Деятельность по предоставлению услуг телефонной связи,TTLK,3441.0,3427.0,4068740000.0,4287581000.0,18793594000.0,20266583000.0,4154318000.0,4846883000.0,0.0868,0.0815,1.0085,0.725,0.0378,-0.24,0.755,0.6005,0.0573,-0.13,1,1,0.221049683,0.239156398,0.21649611,0.211559146,23.656781904034805,8.14351740579748
UGLD,"ПАО ""ЮГК""",28,Добыча золотосодержащей руды,UGLD,,3616.0,96710000000.0,107713000000.0,154600000000.0,177200000000.0,71600000000.0,80400000000.0,0.057,0.086,0.6532,0.7478,0.0,0.14,0.7451,0.5429,0.0,-0.27,0,1,0.46313066,0.453724605,0.62554981,0.607861174,25.764106973099732,
UPRO,"ПАО ""Юнипро""",20,Производство электроэнергии,UPRO,4677.0,4774.0,87625501000.0,106421000000.0,197200000000.0,238800000000.0,0.0,,0.162,0.165,2.045,1.827,0.0,-0.11,1.806,1.488,0.0,-0.18,0,0,0.0,,0.44434838,0.445648308,26.007484279114948,8.450412157725886
VKCO,"МКПАО ""ВК""",27,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",VKCO,12952.0,12967.0,54833000000.0,51503000000.0,333500000000.0,333300000000.0,202700000000.0,114800000000.0,-0.286,-0.66,568.8,312.4,0.0,-0.45,303.4,302.3,0.0,0.0,1,1,0.607796102,0.344434443,0.16441679,0.154524452,26.53290870230209,9.469005495357472
VSEH,"ПАО ""ВИ.ру""",19,Торговля розничная по почте или по информационно-коммуникационной сети Интернет,VSEH,,,3512689000.0,3389697000.0,78300000000.0,68600000000.0,22100000000.0,11100000000.0,0.037,0.061,,84.8,0.0,,90.3,73.95,3.0,-0.15,0,0,0.282247765,0.16180758,0.04486193,0.049412493,25.083813439943167,
VSMO,"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""",33,Производство титана,VSMO,13486.0,,229142000000.0,220381000000.0,466259000000.0,430052000000.0,192585000000.0,154728000000.0,0.0206,0.0035,33940.0,23920.0,564.0,-0.28,23840.0,31360.0,0.0,0.32,1,1,0.413043831,0.359789586,0.49144764,0.51245177,26.8680071106672,9.509407389294527
VTBR,Банк ВТБ (ПАО),35,Денежное посредничество прочее,VTBR,,106000.0,,,36070000000000.0,36884000000000.0,,,,,,80.03,25.58,,77.78,72.22,9.71,0.05,1,1,,,,,31.216482610843997,
WUSH,"ПАО ""ВУШ Холдинг""",7,Деятельность холдинговых компаний,WUSH,,,14007676000.0,15501753000.0,21900000000.0,19700000000.0,12700000000.0,13500000000.0,0.091,-0.149,223.17,173.74,0.0,-0.22,175.46,91.13,0.0,-0.48,0,0,0.579908676,0.685279188,0.63961991,0.786891015,23.809752473768867,
YDEX,"МКПАО ""ЯНДЕКС""",28,Деятельность холдинговых компаний,"YDEX, YNDX",28992.0,31537.0,153418000000.0,159774000000.0,1098000000000.0,1368000000000.0,368100000000.0,537200000000.0,0.092,0.103,2581.0,3994.0,160.0,0.61,3872.5,4567.0,190.0,0.23,0,0,0.335245902,0.392690058,0.13972495,0.11679386,27.724511459015886,10.274775208842707
ZAYM,"ПАО МФК ""Займер""",12,Деятельность микрофинансовая,ZAYM,563.0,625.0,333743000.0,,16500000000.0,1780000000.0,40000000.0,5000000.0,0.239,0.244,,138.3,36.24,,138.4,154.55,27.29,0.31,0,0,0.002424242,0.002808989,0.02022685,,23.526626217852947,6.333279628139691
