held_out,n_train,media_score,awards_score,expertise_score,face_score,communication_score
LSNGP,55,0.2324989126349216,0.3376558906420601,0.3346723691027878,0.09517282762023065,0.0
MGTSP,55,0.12806008158423896,0.43917714084788334,0.3038042386505956,0.12687247454968184,0.002086064367600245
MRKC,55,0.16653784932000526,0.4170597043569506,0.2853595479419152,0.13015668442320028,0.0008862139579285857
MRKP,55,0.14028959237236902,0.4520658351131214,0.2685971828628323,0.13764364869377715,0.0014037409579002384
MRKU,55,0.1471614451850376,0.41788030489219363,0.3090078059454071,0.12595044397736163,0.0
MRKV,55,0.16745871489630845,0.4247395616492216,0.24809131116970976,0.15827338087390497,0.0014370314108551351
MRKZ,55,0.1597042461905602,0.41965217530835625,0.2962876492382314,0.12375482650345575,0.0006011027593964409
MSRS,55,0.212967187407663,0.4239053790032246,0.2552143729728461,0.10652057346753291,0.0013924871487334624
MTSS,55,0.17350494881715992,0.40128405696091585,0.3369675929208061,0.08695505602507113,0.0012883452760469305
NKNC,55,0.24344698961706276,0.40818116270617627,0.26775633904049434,0.07942689396667563,0.0011886146695910984
NLMK,55,0.23068822166512334,0.36311518509417706,0.2735483130034559,0.1326482802372437,0.0
OZPH,55,0.1992387922991359,0.37985694620847194,0.27302271118417704,0.14788155030821518,0.0
PHOR,55,0.1757992672116955,0.36535621372756205,0.3399379667697615,0.11615734002463089,0.002749212266349951
PIKK,55,0.26339113210342646,0.3678748230021052,0.2763557355427991,0.08755225724944724,0.004826052102221893
POSI,55,0.13215876654330017,0.3600731531378346,0.3244382816388437,0.18332979868002153,0.0
PRMD,55,0.28804868239319553,0.30940079096990014,0.2985291232832063,0.10028997584366518,0.0037314275100328986
RENI,55,0.18360199069019495,0.39879493120312276,0.33069040432418206,0.08396265518806113,0.002950018594439107
RNFT,55,0.22690180257829579,0.376504500819184,0.286569404011178,0.1048411077268781,0.005183184864464079
ROSN,55,0.29005011980232137,0.3705567012353644,0.24925433179260068,0.08777270152004245,0.0023661456496709213
RUAL,55,0.37604634346128013,0.3050854174746974,0.21548362680389913,0.10042475868098824,0.002959853579135007
SELG,55,0.1250144904722343,0.4005869692842976,0.36536568892473714,0.10645989898858234,0.0025729523301485898
SGZH,55,0.18985284793259302,0.2511334309297775,0.46125352821121435,0.09229339495155256,0.005466797974862549
SMLT,55,0.17821963568161409,0.4195009780361947,0.29639898853586194,0.10556663927543843,0.0003137584708908018
SOFL,55,0.1861620315128731,0.39316180886018615,0.29288347450378577,0.12779268512315492,0.0
TATN,55,0.12045220896414781,0.4401945403349399,0.32576936764743086,0.10879202566616751,0.00479185738731383
TRNFP,55,0.2278008532307395,0.3917672816794825,0.28216851503024243,0.09622666650393094,0.0020366835556047663
TTLK,55,0.12667091826477606,0.44525813843718554,0.3130969424736244,0.11358812345904461,0.0013858773653693663
UGLD,55,0.12174276414998,0.4601691442888177,0.31411778536855056,0.10182944450675863,0.0021408616858931088
VSEH,55,0.16549640124905576,0.4724978607835651,0.25419651376098473,0.10780922420639438,0.0
YDEX,55,0.16551670667223045,0.4342748665731031,0.2768333401747329,0.12337508657993358,0.0
