sample,predictor,outcome,method,n,correlation,p_value,q_value_bh
all_managers,index_critic,roa_2025,Pearson,60,-0.1186056805202907,0.36674828209763344,0.8782674827071485
all_managers,index_critic,roa_2025,Spearman,60,-0.233306472592154,0.0728107030565701,0.37393262507853936
all_managers,index_critic,stock_return_2025,Pearson,59,0.026340059241108486,0.8430237516049796,0.9809468283491133
all_managers,index_critic,stock_return_2025,Spearman,59,-0.09002689361060873,0.49771273850836345,0.7326746364709246
all_managers,index_critic,roa_2024,Pearson,61,0.013058846297311535,0.9204339921855503,0.9809468283491133
all_managers,index_critic,roa_2024,Spearman,61,-0.08664956770791356,0.5066872795198055,0.7326746364709246
all_managers,index_critic,stock_return_2024,Pearson,52,-0.1645861166635709,0.24362726219410002,0.8782674827071485
all_managers,index_critic,stock_return_2024,Spearman,52,-0.20329647776081236,0.14831779088191718,0.46143312718818685
ceo,media_score,roa_2025,Pearson,72,-0.04856473930417362,0.6853947686300949,0.821772636413799
ceo,media_score,roa_2025,Spearman,72,-0.03214239777343893,0.7886737373980839,0.9321949194202448
ceo,media_score,stock_return_2025,Pearson,73,0.007298075121793382,0.9511367375319865,0.9863640241072452
ceo,media_score,stock_return_2025,Spearman,73,0.03862207416716549,0.7456255988249112,0.9321949194202448
ceo,media_score,roa_2024,Pearson,73,-0.08290512032548121,0.48560402403956926,0.679845633655397
ceo,media_score,roa_2024,Spearman,73,-0.015041537796301378,0.8994913477407324,0.9599851873406267
ceo,media_score,stock_return_2024,Pearson,63,0.1284941141857416,0.3155544505922599,0.6626442613790052
ceo,media_score,stock_return_2024,Spearman,63,0.18621484873382624,0.14394627848389774,0.8899198465307898
ceo,awards_score,roa_2025,Pearson,84,-0.04200921293900148,0.704376545497542,0.821772636413799
ceo,awards_score,roa_2025,Spearman,84,-0.0633617528473277,0.5669193107022998,0.8899198465307898
ceo,awards_score,stock_return_2025,Pearson,86,-0.08287282603349563,0.4480970948971114,0.6626442613790052
ceo,awards_score,stock_return_2025,Spearman,86,-0.0733567678373754,0.5020719365293523,0.8899198465307898
ceo,awards_score,roa_2024,Pearson,85,0.11995497907152283,0.2741701537917565,0.6477191794693911
ceo,awards_score,roa_2024,Spearman,85,-0.05707497540598383,0.6038741815744645,0.8899198465307898
ceo,awards_score,stock_return_2024,Pearson,76,0.13048730754747895,0.2612164951270698,0.6477191794693911
ceo,awards_score,stock_return_2024,Spearman,76,0.1990400423356833,0.08475733005859155,0.8899198465307898
ceo,expertise_score,roa_2025,Pearson,97,0.111340415304368,0.27759393405831045,0.6477191794693911
ceo,expertise_score,roa_2025,Spearman,97,-0.00959287799821544,0.9257000020784615,0.9599851873406267
ceo,expertise_score,stock_return_2025,Pearson,98,-0.022732102989028127,0.8241755625084445,0.9230766300094578
ceo,expertise_score,stock_return_2025,Spearman,98,-0.11081175264251374,0.27736625480067906,0.8899198465307898
ceo,expertise_score,roa_2024,Pearson,97,0.0831313390284769,0.4182061335236689,0.6626442613790052
ceo,expertise_score,roa_2024,Spearman,97,0.05595279190133179,0.5861979420895823,0.8899198465307898
ceo,expertise_score,stock_return_2024,Pearson,87,-0.1369367470329068,0.2059593659259667,0.6477191794693911
ceo,expertise_score,stock_return_2024,Spearman,87,-0.05801659081888969,0.5935036273760984,0.8899198465307898
ceo,face_score,roa_2025,Pearson,40,-0.0019143357293184698,0.9906462976754882,0.9906462976754883
ceo,face_score,roa_2025,Spearman,40,0.06539995373244985,0.688464821253655,0.9179530950048734
ceo,face_score,stock_return_2025,Pearson,40,0.12432996593085036,0.44464667518579315,0.6626442613790052
ceo,face_score,stock_return_2025,Spearman,40,0.13607357896616984,0.40246926046623155,0.8899198465307898
ceo,face_score,roa_2024,Pearson,41,0.20048187031638715,0.20881974359783392,0.6477191794693911
ceo,face_score,roa_2024,Spearman,41,0.22371286697447515,0.15970774107642596,0.8899198465307898
ceo,face_score,stock_return_2024,Pearson,36,-0.01664873663821072,0.9232238673558534,0.9863640241072452
ceo,face_score,stock_return_2024,Spearman,36,-0.0030905933214461956,0.985727292152773,0.985727292152773
ceo,communication_score,roa_2025,Pearson,77,0.060496627970434605,0.6012164530616407,0.798289085140928
ceo,communication_score,roa_2025,Spearman,77,0.11247458271065232,0.33010017346630505,0.8899198465307898
ceo,communication_score,stock_return_2025,Pearson,77,0.20284302960207679,0.07684887493957325,0.4303536996616102
ceo,communication_score,stock_return_2025,Spearman,77,0.236795350366334,0.0381282908212633,0.8899198465307898
ceo,communication_score,roa_2024,Pearson,78,0.09154970844846988,0.42535395653549396,0.6626442613790052
ceo,communication_score,roa_2024,Spearman,78,0.12765087432778113,0.2653891019244321,0.8899198465307898
ceo,communication_score,stock_return_2024,Pearson,66,0.06088513681215217,0.6272271383250149,0.798289085140928
ceo,communication_score,stock_return_2024,Spearman,66,-0.05166675690735022,0.6803407338658585,0.9179530950048734
ceo,index_equal,roa_2025,Pearson,28,0.3423139708205642,0.07457258405693298,0.4303536996616102
ceo,index_equal,roa_2025,Spearman,28,0.12267252661035495,0.5340187972994342,0.8899198465307898
ceo,index_equal,stock_return_2025,Pearson,26,-0.1549860990228381,0.4496514630786107,0.6626442613790052
ceo,index_equal,stock_return_2025,Spearman,26,-0.16555500725420816,0.4189459170977534,0.8899198465307898
ceo,index_equal,roa_2024,Pearson,28,0.42355155894416635,0.024706869515692276,0.2519075750643574
ceo,index_equal,roa_2024,Spearman,28,0.20634920634920634,0.2921088668770521,0.8899198465307898
ceo,index_equal,stock_return_2024,Pearson,22,-0.27994082887200644,0.2070183418248255,0.6477191794693911
ceo,index_equal,stock_return_2024,Spearman,22,-0.04067797259375912,0.8573619914653692,0.9599851873406267
ceo,index_critic,roa_2025,Pearson,28,0.41769099337428517,0.02699009732832401,0.2519075750643574
ceo,index_critic,roa_2025,Spearman,28,0.05038335914353865,0.7990242166459242,0.9321949194202448
ceo,index_critic,stock_return_2025,Pearson,26,-0.17967988841674049,0.37977478526559416,0.6626442613790052
ceo,index_critic,stock_return_2025,Spearman,26,-0.22575682807392025,0.2674661975551779,0.8899198465307898
ceo,index_critic,roa_2024,Pearson,28,0.49776576575961046,0.007031219485297476,0.19687414558832933
ceo,index_critic,roa_2024,Spearman,28,0.12753147235905857,0.5178164111710875,0.8899198465307898
ceo,index_critic,stock_return_2024,Pearson,22,-0.2647519639062401,0.23376978744486981,0.6477191794693911
ceo,index_critic,stock_return_2024,Spearman,22,-0.18587573587981596,0.40755867070574947,0.8899198465307898
