ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024,industry_group,media_score_10,awards_score_10,expertise_score_10,face_score_10,communication_score_10,index_equal_10,index_critic_10,roa_2025_w,stock_return_2025_w
EUTR,58.26562742658046,0.0,47.98943214143516,49.902794038649226,100.0,51.23157072133297,30.266764085877195,"ПАО ""ЕвроТранс""",28,Торговля розничная моторным топливом в специализированных магазинах,EUTR,1433.0,1756.0,25768551000.0,39618427000.0,103900000000.0,141100000000.0,48800000000.0,66800000000.0,0.053,0.034,260.0,119.0,27.49,-0.44,117.9,147.2,20.35,0.42,0,0,0.469682387,0.473423104,0.248013,0.280782615,25.366694735051592,7.267525427828172,Прочие,5.826562742658046,0.0,4.798943214143516,4.990279403864923,10.0,5.1231570721332975,3.0266764085877194,0.034,0.42
FEES,67.91345671681466,0.0,58.01474483952608,,100.0,,,"ПАО ""РОССЕТИ""",24,Передача электроэнергии,FEES,,,1057380000000.0,1194380000000.0,1937340000000.0,2203310000000.0,733738000000.0,899458000000.0,-0.1455,0.0484,0.1117,0.07732,0.0,-0.31,0.0763,0.07082,0.0,-0.07,1,1,0.378735038,0.408229805,0.54578772,0.542082652,28.292337014118782,,Передача электроэнергии,6.791345671681467,0.0,5.8014744839526085,,10.0,,,0.0484,-0.07
FESH,,,64.909946675563,,100.0,,,"ПАО ""ДВМП""",30,Перевозка сухих сыпучих грузов морскими судами заграничного плавания,FESH,313.0,344.0,7523931000.0,8175688000.0,65798660000.0,65503582000.0,42953510000.0,46872673000.0,-0.0055,-0.0643,81.27,62.4,0.0,-0.23,59.14,52.97,0.0,-0.1,1,1,0.6528022,0.715574196,0.11434778,0.124812838,24.909865310328676,5.746203190540153,Прочие,,,6.490994667556301,,10.0,,,-0.0643,-0.1
FIVE,60.79615827635892,52.8633946819448,45.37462288914955,61.85309901321753,100.0,64.17745497213416,53.35040381189826,Икс 5 Ритейл Груп Н.В.,19,Деятельность головных офисов,FIVE,417058.0,411000.0,421511000000.0,513535000000.0,1843000000000.0,1925000000000.0,288700000000.0,407000000000.0,0.06,0.049,2222.5,,648.0,-0.71,,,613.0,,0,0,0.156646772,0.211428571,0.22870917,0.266771429,28.242415794616235,12.940980579838016,Деятельность головных офисов,6.079615827635893,5.2863394681944795,4.537462288914955,6.185309901321753,10.0,6.417745497213415,5.335040381189826,0.049,
FIXP,68.84953557964121,0.0,47.612819862447594,,100.0,,,Фикс Прайс Груп Лтд,18,Деятельность холдинговых компаний,FIXP,40766.0,45234.0,29175000000.0,35897000000.0,123600000000.0,142600000000.0,18300000000.0,12600000000.0,0.173,0.078,295.1,171.4,0.373,-0.42,168.7,,0.11,,0,0,0.148058252,0.088359046,0.23604369,0.251732118,25.54031638197,10.615603679643675,Деятельность холдинговых компаний,6.8849535579641215,0.0,4.761281986244759,,10.0,,,0.078,
FLOT,60.78029364711992,0.0,57.20764707468439,43.08196534963995,,,,"ПАО ""Совкомфлот""",37,Деятельность морского грузового транспорта,FLOT,,105.0,,,679700000000.0,542500000000.0,135500000000.0,145300000000.0,0.068,-0.096,149.3,99.28,0.0,-0.34,95.21,76.19,4.87,-0.15,1,1,0.199352656,0.267834101,,,27.244917361299002,,Прочие,6.078029364711992,0.0,5.7207647074684385,4.3081965349639955,,,,-0.096,-0.15
GAZP,72.48351555689356,0.0,46.300405202789065,57.05663161478272,100.0,55.16811047489307,33.104118680972945,"ПАО ""ГАЗПРОМ""",33,Торговля оптовая природным (естественным) газом,GAZP,29509.0,,14557200000000.0,14718900000000.0,26162800000000.0,25736300000000.0,9832470000000.0,9304110000000.0,-0.041,0.0004,161.44,133.12,0.0,-0.18,128.66,125.36,0.0,-0.03,1,1,0.375818143,0.361516421,0.55640786,0.571911641,30.895359670429,10.292450580544786,Прочие,7.248351555689356,0.0,4.630040520278906,5.705663161478272,10.0,5.516811047489307,3.3104118680972947,0.0004,-0.03
GEMC,54.58324838368529,0.0,59.55501406805792,58.15515350368304,100.0,54.45868319108526,34.20575184026583,МКПАО ЮМГ,36,Деятельность холдинговых компаний,GEMC,1492.0,3244.0,10116689774.0,21063103444.0,38800000000.0,61600000000.0,5540000000.0,12100000000.0,0.267,0.174,,757.1,0.0,,756.6,846.5,0.0,0.12,0,0,0.142783505,0.196428571,0.26073943,0.341933497,24.381686083575637,7.307872780763706,Деятельность холдинговых компаний,5.4583248383685286,0.0,5.9555014068057925,5.815515350368304,10.0,5.445868319108525,3.4205751840265832,0.174,0.12
GLTR,,,49.23321485962758,,50.0,,,Глобалтранс Инвестмент ПЛС,21,Деятельность холдинговых компаний,GLTR,,,,,,,,,,,650.0,,,,,,,,0,0,,,,,,,Деятельность холдинговых компаний,,,4.923321485962758,,5.0,,,,
GMKN,,,45.05744867252452,,100.0,,,"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""",29,Производство никеля,GMKN,78700.0,,832893000000.0,878375000000.0,2085120000000.0,2173440000000.0,1589090000000.0,1505060000000.0,0.062,0.0665,,115.5,0.0,,112.68,149.46,0.0,0.33,0,0,0.762106021,0.692480387,0.39944527,0.404140653,28.36584752347998,11.273398434405495,Прочие,,,4.505744867252452,,10.0,,,0.0665,0.33
